arch,optimizer,seed,n_points,d_full,k_initial,k_used,kmax,k_used_over_n_minus_1,connected_at_initial_k,initial_components,connected_at_final_k,final_components,adaptive_growth_used,edge_count,possible_edges,graph_density,edge_median,edge_p95,edge_p99,edge_max,edge_max_over_median,allpair_median,allpair_p95,allpair_p99,allpair_max,edge_max_over_allpair_median,edge_max_over_allpair_p95,edge_p95_over_allpair_p95,near_complete_graph_flag,geo_Lobs,geo_pperm,geo_formal_trigger,decision,kinematic_R,val_acc,trajectory_file,trajectory_sha256,elapsed_sec,geo_zero_frac,geo_null_collapsed,d_full_main
mlp2_mnist,sgd,42,200,203530,12,12,199,0.06030150753768844,True,1,True,1,False,1328,19900,0.06673366834170855,0.045518501911997335,0.4999232417482096,1.3003611272469688,2.0990354413430334,46.11389551780648,1.0692212797750344,4.044982200421204,4.7911396308865255,5.2667371570989445,1.963144094721637,0.518923282560784,0.12359096208038418,False,0.0,1.0,False,matched_step_non_detection,1.2617417447650972,96.9499969482422,exp4_results/trajectories/mlp2_mnist__sgd__seed42.npy,4923cc1172b393ebba26277ca1c47291eefae4ab57af8d63849b6d02db4fb8f2,0.5116133689880371,1.0,True,203530
mlp2_mnist,sgd,1042,200,203530,12,12,199,0.06030150753768844,True,1,True,1,False,1332,19900,0.06693467336683417,0.045487751908758346,0.49948100437284415,1.300209657325003,2.105158835917189,46.27968513576016,1.0583844474817161,4.026731074102589,4.786485519107391,5.267552394084256,1.9890303952634065,0.5227959844290891,0.12404131171934202,False,0.0,1.0,False,matched_step_non_detection,1.257476539702929,96.87999725341795,exp4_results/trajectories/mlp2_mnist__sgd__seed1042.npy,3be62467236159338bfc9b622f0a6a5f311a2fbcd42eced8b2d6abf59d93a4e1,0.4964473247528076,1.0,True,203530
mlp2_mnist,sgd,2042,200,203530,12,12,199,0.06030150753768844,True,1,True,1,False,1327,19900,0.06668341708542713,0.046069380335528515,0.49635145239178136,1.293248283528469,2.1037867123559195,45.665617748451076,1.076445159682318,4.053628161392055,4.797581398806815,5.280912514773013,1.9543835498083688,0.5189885772929256,0.12244622166360888,False,0.0,1.0,False,matched_step_non_detection,1.2665354807421163,96.97000122070312,exp4_results/trajectories/mlp2_mnist__sgd__seed2042.npy,6257cbdd7617437c257afeba13d0e64b20af181cfe4b9cc0f72cc3e55e448036,0.4953184127807617,1.0,True,203530
mlp2_mnist,sgd_momentum,142,200,203530,12,12,199,0.06030150753768844,True,1,True,1,False,1424,19900,0.07155778894472362,0.07187512984277414,1.223591655369562,3.1361948499918126,4.862350390982732,67.64997018511697,1.4805870974978954,8.019296290884036,10.071431785086137,10.91555343883164,3.2840691366259587,0.6063313057168644,0.15258092617931224,False,0.0,1.0,False,matched_step_non_detection,1.3451950672776989,98.0999984741211,exp4_results/trajectories/mlp2_mnist__sgd_momentum__seed142.npy,d7184629714f1d316e68c4113c8f6ea8b181b01585f305b465256c2d050f3a89,0.46341371536254883,1.0,True,203530
mlp2_mnist,sgd_momentum,1142,200,203530,12,12,199,0.06030150753768844,True,1,True,1,False,1420,19900,0.07135678391959799,0.0710709474983462,1.2132909615049503,3.1141412993152118,4.830915993187725,67.97314744160637,1.483109160614894,7.9938052441401934,10.018768382720214,10.857744812211548,3.25728956537601,0.6043324606548792,0.15177889934136105,False,0.0,1.0,False,matched_step_non_detection,1.343287223907115,98.12000274658205,exp4_results/trajectories/mlp2_mnist__sgd_momentum__seed1142.npy,fcc93f767c5ec02a6834acb9e94d127e8e8c5f6f26e5442592fe18ceb0d36d89,0.4585089683532715,1.0,True,203530
mlp2_mnist,sgd_momentum,2142,200,203530,12,12,199,0.06030150753768844,True,1,True,1,False,1421,19900,0.0714070351758794,0.06921258697125166,1.2209289765082372,3.131679514486896,4.8289249970412,69.76946258311636,1.457052454043834,8.023293089584024,10.051041574361673,10.879169423317048,3.3141737510107587,0.6018632178985945,0.15217304950421365,False,0.0,1.0,False,matched_step_non_detection,1.3342586499365732,98.12000274658205,exp4_results/trajectories/mlp2_mnist__sgd_momentum__seed2142.npy,7c9f5cbc6c8ae740f886c590c587c9fa06eabb7995ec1b4c00f556018eb36e7d,0.4518003463745117,1.0,True,203530
mlp2_mnist,adam,242,200,203530,12,12,199,0.06030150753768844,True,1,True,1,False,1317,19900,0.06618090452261306,0.2738126385630914,4.046239524486962,9.49417981572335,14.181885441275028,51.7941228558574,4.781854999630832,19.41728256428556,26.015471030330648,29.461195548212977,2.965770698268126,0.7303743659454804,0.20838340849656536,False,0.0,1.0,False,matched_step_non_detection,1.7797662794112392,98.2699966430664,exp4_results/trajectories/mlp2_mnist__adam__seed242.npy,009fa93ffeb03b4f631dafcddb9ff0f6cebe20572c44e53ee6d569848bce5e78,0.4580371379852295,1.0,True,203530
mlp2_mnist,adam,1242,200,203530,12,48,199,0.24120603015075376,False,2,True,1,True,5633,19900,0.2830653266331658,0.9273449905523169,10.568655755447514,17.226792291477338,21.52331948796224,23.209614229025995,4.622672460548214,20.21919750680954,26.259669767877387,29.414114314177414,4.65603385739449,1.064499195910838,0.5227040169070815,False,0.0,1.0,False,matched_step_non_detection,2.117475014359861,98.18000030517578,exp4_results/trajectories/mlp2_mnist__adam__seed1242.npy,a20a663c69819803ca303c64ef9981e3dc04b989e16ba0965ff977761fbab90d,0.46199727058410645,1.0,True,203530
mlp2_mnist,adam,2242,200,203530,12,12,199,0.06030150753768844,True,1,True,1,False,1326,19900,0.06663316582914573,0.27924610313369225,4.071698834046484,9.419448942330947,14.169677460852176,50.7426148540291,4.816645532902657,19.72215291445719,26.171008764109327,29.57087989743621,2.941814456566447,0.7184650439691335,0.20645306076404807,False,0.0,1.0,False,matched_step_non_detection,1.8391112808201415,98.23999786376952,exp4_results/trajectories/mlp2_mnist__adam__seed2242.npy,18dbed06a9537e3ea3688a068b5cb3086197b063782790d32570f1093c20d2c1,0.4536705017089844,1.0,True,203530
mlp2_mnist,adamw,342,200,203530,12,48,199,0.24120603015075376,False,2,True,1,True,5712,19900,0.287035175879397,0.9660461036354215,11.110866629325633,18.031249184639726,24.5332422420651,25.395519064479725,4.644501127488857,19.698833395368773,25.528160325317337,28.742796209603185,5.2822125710892465,1.2454159974687466,0.5640367836167015,False,0.0,1.0,False,matched_step_non_detection,2.2886616231410697,98.31999969482422,exp4_results/trajectories/mlp2_mnist__adamw__seed342.npy,a041169be69ea1560ebf0a66156a856138509984bb75d4f152551a262397e3a8,0.5114212036132812,0.985,True,203530
mlp2_mnist,adamw,1342,200,203530,12,24,199,0.12060301507537688,False,2,True,1,True,2713,19900,0.1363316582914573,0.47389668537764157,6.918362987393584,13.535328276489766,18.042735153013258,38.073140643718965,4.694744221511966,19.51185170286018,25.459964160935126,28.758913569230135,3.8431774558313765,0.9247064516366484,0.35457234365814133,False,0.0,1.0,False,matched_step_non_detection,2.2420301447014643,98.30999755859376,exp4_results/trajectories/mlp2_mnist__adamw__seed1342.npy,81e39e0a914000a3fb0690c02f09d47b31817cf48305734834412f8dc74cb0a7,0.48032617568969727,0.965,True,203530
mlp2_mnist,adamw,2342,200,203530,12,48,199,0.24120603015075376,False,2,True,1,True,5526,19900,0.27768844221105526,0.8806858887134152,10.150428094736961,17.123855905835214,21.139169783762327,24.00307539231759,4.6548905232532585,18.82285493814507,24.828586940815843,27.637626097028036,4.5412818364166,1.1230586355379095,0.5392608150087945,False,0.0001964569091796,0.0199004975124378,True,matched_step_trigger,2.333590152924058,98.2300033569336,exp4_results/trajectories/mlp2_mnist__adamw__seed2342.npy,11274f86c8ba0328da3104ced2738abb8caf2a4ce39ca6726abba9dc4cbd1ed2,0.46311378479003906,0.96,True,203530
smallcnn_cifar10,sgd,10042,200,321290,12,12,199,0.06030150753768844,True,1,True,1,False,1329,19900,0.06678391959798995,0.11162667149274982,0.7341942325712549,1.3058786595438974,1.6491170564363538,14.77350380843964,2.1547683238947544,5.739302859466108,6.269508914488409,6.389672197062686,0.765333812525516,0.28733752109214766,0.12792393964019255,False,0.0,1.0,False,matched_step_non_detection,1.971409494730726,64.44999694824219,exp4_results/trajectories/smallcnn_cifar10__sgd__seed10042.npy,cbf064f02589d0759260fe4f591bbf925f0dc74b81ae1a2220d6d5fefbe81bf2,0.8422303199768066,1.0,True,321290
