arch,optimizer,lag,acf_mag,acf_mag,cos_sim,cos_sim
,,,mean,std,mean,std
resnet18_cifar10,sgd,7,0.8803,0.0086,0.1211,0.002
resnet18_cifar10,sgd,8,0.8709,0.0085,0.1197,0.0022
resnet18_cifar10,sgd,9,0.8618,0.0089,0.1139,0.001
resnet18_cifar10,sgd,10,0.8532,0.0091,0.1148,0.0024
resnet18_cifar10,sgd,11,0.8441,0.0092,0.1116,0.0032
resnet18_cifar10,sgd,12,0.8348,0.0092,0.1087,0.0015
resnet18_cifar10,sgd,13,0.8252,0.0092,0.1062,0.0037
resnet18_cifar10,sgd,14,0.8154,0.0091,0.1052,0.0002
resnet18_cifar10,sgd,15,0.8053,0.0089,0.1029,0.0024
resnet18_cifar10,sgd,16,0.7947,0.0088,0.1009,0.0031
resnet18_cifar10,sgd,17,0.7838,0.009,0.0992,0.0026
resnet18_cifar10,sgd,18,0.7733,0.0094,0.0966,0.0002
resnet18_cifar10,sgd,19,0.7623,0.0095,0.097,0.0038
resnet18_cifar10,sgd,20,0.7511,0.0098,0.0943,0.0024
resnet18_cifar10,sgd,21,0.7401,0.0095,0.0922,0.0005
resnet18_cifar10,sgd,22,0.729,0.0091,0.0906,0.0029
resnet18_cifar10,sgd,23,0.7172,0.0091,0.0912,0.0016
resnet18_cifar10,sgd,24,0.7059,0.0091,0.0889,0.0028
resnet18_cifar10,sgd,25,0.6948,0.0091,0.0862,0.0012
resnet18_cifar10,sgd,26,0.6834,0.0087,0.0846,0.0027
resnet18_cifar10,sgd,27,0.672,0.0083,0.0847,0.001
resnet18_cifar10,sgd,28,0.6609,0.0078,0.085,0.0022
resnet18_cifar10,sgd,29,0.6492,0.0076,0.0825,0.0015
resnet18_cifar10,sgd,30,0.6373,0.0071,0.0811,0.0015
resnet18_cifar10,sgd,31,0.6254,0.0071,0.0798,0.0021
resnet18_cifar10,sgd,32,0.6134,0.0072,0.0807,0.0026
resnet18_cifar10,sgd,33,0.6013,0.0065,0.0782,0.0017
resnet18_cifar10,sgd,34,0.5891,0.0064,0.0781,0.003
resnet18_cifar10,sgd,35,0.5768,0.006,0.0764,0.0019
resnet18_cifar10,sgd,36,0.5644,0.0057,0.075,0.0004
resnet18_cifar10,sgd,37,0.5519,0.0052,0.074,0.0013
resnet18_cifar10,sgd,38,0.5392,0.0049,0.0771,0.0021
resnet18_cifar10,sgd,39,0.526,0.0048,0.0712,0.0023
resnet18_cifar10,sgd,40,0.5122,0.0046,0.073,0.0014
resnet18_cifar10,sgd_momentum,0,1.0,0.0,1.0,0.0
resnet18_cifar10,sgd_momentum,1,0.9852,0.0018,-0.0159,0.0019
resnet18_cifar10,sgd_momentum,2,0.9717,0.0026,-0.0046,0.0012
resnet18_cifar10,sgd_momentum,3,0.9602,0.0031,0.0061,0.0012
resnet18_cifar10,sgd_momentum,4,0.9506,0.0032,0.0091,0.0019
resnet18_cifar10,sgd_momentum,5,0.9421,0.0032,0.0113,0.001
resnet18_cifar10,sgd_momentum,6,0.934,0.0029,0.0119,0.0013
resnet18_cifar10,sgd_momentum,7,0.9258,0.0025,0.0126,0.0004
resnet18_cifar10,sgd_momentum,8,0.9174,0.0021,0.0143,0.0007
resnet18_cifar10,sgd_momentum,9,0.9091,0.002,0.0108,0.0005
resnet18_cifar10,sgd_momentum,10,0.901,0.002,0.0142,0.0011
resnet18_cifar10,sgd_momentum,11,0.893,0.0018,0.0125,0.0005
resnet18_cifar10,sgd_momentum,12,0.8851,0.0021,0.0113,0.0015
resnet18_cifar10,sgd_momentum,13,0.877,0.0021,0.0128,0.0007
resnet18_cifar10,sgd_momentum,14,0.8688,0.0018,0.012,0.0002
resnet18_cifar10,sgd_momentum,15,0.8605,0.0021,0.0111,0.0016
resnet18_cifar10,sgd_momentum,16,0.8523,0.0022,0.0101,0.0004
resnet18_cifar10,sgd_momentum,17,0.8435,0.0024,0.0106,0.0007
resnet18_cifar10,sgd_momentum,18,0.8345,0.0024,0.0112,0.0006
resnet18_cifar10,sgd_momentum,19,0.8254,0.0023,0.0099,0.0011
resnet18_cifar10,sgd_momentum,20,0.816,0.0022,0.0105,0.0015
resnet18_cifar10,sgd_momentum,21,0.806,0.0024,0.01,0.0011
resnet18_cifar10,sgd_momentum,22,0.796,0.0024,0.0092,0.0014
resnet18_cifar10,sgd_momentum,23,0.7856,0.0023,0.01,0.0008
resnet18_cifar10,sgd_momentum,24,0.7745,0.0022,0.0108,0.0005
resnet18_cifar10,sgd_momentum,25,0.7635,0.0022,0.0087,0.0016
resnet18_cifar10,sgd_momentum,26,0.7518,0.002,0.0089,0.0013
resnet18_cifar10,sgd_momentum,27,0.74,0.0018,0.0095,0.0011
resnet18_cifar10,sgd_momentum,28,0.728,0.0017,0.0089,0.0014
resnet18_cifar10,sgd_momentum,29,0.7157,0.0018,0.0098,0.0004
resnet18_cifar10,sgd_momentum,30,0.7026,0.0017,0.0076,0.0006
resnet18_cifar10,sgd_momentum,31,0.6894,0.0017,0.0087,0.0004
resnet18_cifar10,sgd_momentum,32,0.6761,0.0016,0.008,0.0016
resnet18_cifar10,sgd_momentum,33,0.6624,0.0017,0.0068,0.0012
resnet18_cifar10,sgd_momentum,34,0.6481,0.0016,0.0081,0.0013
resnet18_cifar10,sgd_momentum,35,0.6339,0.0016,0.0084,0.001
resnet18_cifar10,sgd_momentum,36,0.6193,0.0014,0.007,0.0015
resnet18_cifar10,sgd_momentum,37,0.6042,0.0017,0.009,0.001
resnet18_cifar10,sgd_momentum,38,0.5886,0.0017,0.0071,0.001
resnet18_cifar10,sgd_momentum,39,0.5733,0.0018,0.0085,0.0004
resnet18_cifar10,sgd_momentum,40,0.5574,0.0017,0.0063,0.0011
