dataset,type,param,k,k_used,seed,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
helix_p12,helix,12.0,14,14,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0018119113519787788,0.059282999485731125,0.20708121359348297,0.03056375972312814,1.0,0.0,-2.241249666550653,-0.2052693022415042,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,14,14,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0012938277795910835,0.0641433335840702,0.22328568249940872,0.020170884599802444,1.0,0.0,-2.0097030542365735,-0.22199185471981764,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,14,14,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0016093412414193153,0.06158011965453625,0.2414201945066452,0.02613410383775749,1.0,0.0,-2.036782267052781,-0.2398108532652259,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,16,16,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.002055676653981209,0.0617595836520195,0.4436614066362381,0.03328514430295555,1.0,0.0,-1.9168421516286076,-0.4416057299822569,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,16,16,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0017885901033878326,0.057635191828012466,0.2078436017036438,0.03103295133803112,1.0,0.0,-2.121055983104354,-0.20605501160025597,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,16,16,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.001875266432762146,0.06165046989917755,0.3571755662560463,0.030417715157703046,1.0,0.0,-1.7422106928556975,-0.35530029982328415,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,16,16,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.00224114116281271,0.06181666627526283,0.26824938505887985,0.03625464292747363,1.0,0.0,-2.206859520049484,-0.26600824389606714,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,20,20,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0016787303611636162,0.061647629365324974,0.28071819245815277,0.027231061087332305,1.0,0.0,-1.904169838436149,-0.27903946209698915,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,20,20,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0012657707557082176,0.05525701865553856,0.33747705817222595,0.02290696795597819,1.0,0.0,-2.3025535437744113,-0.33621128741651773,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,20,20,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0017781704664230347,0.05688177049160004,0.22081537172198296,0.03126081433513683,1.0,0.0,-1.9879437919646064,-0.21903720125555992,0.0,False,False,False,False,False,False
helix_p12,helix,12.0,20,20,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0017042765393853188,0.04957010596990585,0.2440047338604927,0.03438113568660936,1.0,0.0,-1.9411105024214457,-0.2423004573211074,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,6,6,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0012548202648758888,0.04900741949677467,0.17927438020706177,0.025604699813522473,1.0,0.0,-2.302873296357683,-0.17801955994218588,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,6,6,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0018118703737854958,0.0499243400990963,0.1964847706258297,0.03629232494916845,1.0,0.0,-2.183574660718501,-0.1946729002520442,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,6,6,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.0025879116728901863,0.04911234602332115,0.1588706634938717,0.05269370906469454,1.0,0.0,-1.862255388543247,-0.1562827518209815,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,6,6,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.000749954953789711,0.049318887293338776,0.17171479016542435,0.015206242373513503,1.0,0.0,-2.4529768904393334,-0.17096483521163464,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,8,8,101,1200,600,200,50,95.0,0.05,0.001,5.0,0.0014544427394866943,0.04929131269454956,0.16016177460551262,0.029507080658819903,1.0,0.0,-2.530439954617391,-0.15870733186602592,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,8,8,202,1200,600,200,50,95.0,0.05,0.001,5.0,0.0017988858744502068,0.04760054685175419,0.2386413849890232,0.037791285886164615,1.0,0.0,-2.1947949290895923,-0.236842499114573,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,8,8,303,1200,600,200,50,95.0,0.05,0.001,5.0,0.002299714833498001,0.0479595921933651,0.1768222115933895,0.047951092331602455,1.0,0.0,-2.5948448458732485,-0.1745224967598915,0.0,False,False,False,False,False,False
helix_p15,helix,15.0,8,8,404,1200,600,200,50,95.0,0.05,0.001,5.0,0.0018445570021867752,0.04931381717324257,0.2071339562535286,0.03740446608846614,1.0,0.0,-2.660370143623769,-0.20528939925134182,0.0,False,False,False,False,False,False
