arch,optimizer,seed,lag,acf_mag,cos_sim
smallcnn_cifar10,sgd,10042,0,1.0,1.0
smallcnn_cifar10,sgd,10042,1,0.9820922912042607,0.3629300126788738
smallcnn_cifar10,sgd,10042,2,0.9391509861888773,0.4495953729115089
smallcnn_cifar10,sgd,10042,3,0.8901219710787577,0.4493314790394533
smallcnn_cifar10,sgd,10042,4,0.8489469545810665,0.4413333226227434
smallcnn_cifar10,sgd,10042,5,0.8204001129091416,0.4348394098227101
smallcnn_cifar10,sgd,10042,6,0.801251284954964,0.41638400509110773
smallcnn_cifar10,sgd,10042,7,0.7876201379576403,0.42345325733529177
smallcnn_cifar10,sgd,10042,8,0.7761188351131539,0.4040843979524271
smallcnn_cifar10,sgd,10042,9,0.764873877636802,0.4064322450219977
smallcnn_cifar10,sgd,10042,10,0.7526772359205262,0.39694657634835523
smallcnn_cifar10,sgd,10042,11,0.7386897194069538,0.38715444452536824
smallcnn_cifar10,sgd,10042,12,0.7237434416373127,0.3811647503838713
smallcnn_cifar10,sgd,10042,13,0.7084990733288999,0.37720655553101046
smallcnn_cifar10,sgd,10042,14,0.6924504425804787,0.3714104588977915
smallcnn_cifar10,sgd,10042,15,0.6757707251092414,0.36237274005960685
smallcnn_cifar10,sgd,10042,16,0.658716864623087,0.3586561484094842
smallcnn_cifar10,sgd,10042,17,0.641392164370627,0.361357339281078
smallcnn_cifar10,sgd,10042,18,0.6239314226975571,0.344645540009144
smallcnn_cifar10,sgd,10042,19,0.6062917641021391,0.348572086245372
smallcnn_cifar10,sgd,10042,20,0.589499716529676,0.3359210478614752
smallcnn_cifar10,sgd,10042,21,0.5744742656822828,0.3374254561862443
smallcnn_cifar10,sgd,10042,22,0.560365755416291,0.329319469345033
smallcnn_cifar10,sgd,10042,23,0.5475600126806873,0.32549525749648844
smallcnn_cifar10,sgd,10042,24,0.5355790683002073,0.32946588008003247
smallcnn_cifar10,sgd,10042,25,0.5250219342670521,0.31832616493096605
smallcnn_cifar10,sgd,10042,26,0.5158810302949741,0.3098165521488043
smallcnn_cifar10,sgd,10042,27,0.5074138868372416,0.31329222189587536
smallcnn_cifar10,sgd,10042,28,0.4982366800355021,0.3092438182544751
smallcnn_cifar10,sgd,10042,29,0.48719250350105886,0.3046987644231083
smallcnn_cifar10,sgd,10042,30,0.4755904037411109,0.3032302534090426
smallcnn_cifar10,sgd,10042,31,0.46437434540818956,0.2957151912516497
smallcnn_cifar10,sgd,10042,32,0.45382547091336467,0.30003101753650885
smallcnn_cifar10,sgd,10042,33,0.44455965740116515,0.2838800471006257
smallcnn_cifar10,sgd,10042,34,0.43635090069950183,0.2835338557042716
smallcnn_cifar10,sgd,10042,35,0.42890458315567515,0.2886532137782968
smallcnn_cifar10,sgd,10042,36,0.42098686878715286,0.2824710547708056
smallcnn_cifar10,sgd,10042,37,0.4121870692361955,0.27887670891926414
smallcnn_cifar10,sgd,10042,38,0.4034246071564386,0.2721351947553814
smallcnn_cifar10,sgd,10042,39,0.3954592417255282,0.2786109268139586
smallcnn_cifar10,sgd,10042,40,0.3868128875194529,0.2602940154490663
smallcnn_cifar10,sgd,11042,0,1.0,1.0
smallcnn_cifar10,sgd,11042,1,0.9875213527322055,0.3322326919985537
smallcnn_cifar10,sgd,11042,2,0.9609604203398819,0.42770632791600927
smallcnn_cifar10,sgd,11042,3,0.9317709002985748,0.4229217624929461
smallcnn_cifar10,sgd,11042,4,0.9032492829315377,0.4152362611474686
smallcnn_cifar10,sgd,11042,5,0.8797735229045343,0.4060012820152273
smallcnn_cifar10,sgd,11042,6,0.8616875458132168,0.3900976439830392
smallcnn_cifar10,sgd,11042,7,0.8469128800170316,0.390152391530862
smallcnn_cifar10,sgd,11042,8,0.8337212565650851,0.3815575552207054
smallcnn_cifar10,sgd,11042,9,0.8196512227814473,0.37076345888101897
smallcnn_cifar10,sgd,11042,10,0.803464830483144,0.3622946035709402
smallcnn_cifar10,sgd,11042,11,0.7848361199271111,0.35309547270953767
smallcnn_cifar10,sgd,11042,12,0.7634727758647458,0.3568126326284807
smallcnn_cifar10,sgd,11042,13,0.7403887450424409,0.3462140628004152
smallcnn_cifar10,sgd,11042,14,0.7174644248133573,0.33647517867595766
smallcnn_cifar10,sgd,11042,15,0.6960030386004418,0.3401414545288489
smallcnn_cifar10,sgd,11042,16,0.6762303326809238,0.3300896816965105
smallcnn_cifar10,sgd,11042,17,0.6579226861805519,0.32580386779448767
smallcnn_cifar10,sgd,11042,18,0.6404651932108946,0.31724889250879185
smallcnn_cifar10,sgd,11042,19,0.6235723542234876,0.31978079279072175
smallcnn_cifar10,sgd,11042,20,0.6072227964814957,0.3103798991829337
smallcnn_cifar10,sgd,11042,21,0.5918760109960177,0.3069561157245628
smallcnn_cifar10,sgd,11042,22,0.5768966084679105,0.3015959418589952
smallcnn_cifar10,sgd,11042,23,0.5627215792803166,0.2994562089625001
smallcnn_cifar10,sgd,11042,24,0.549481109810669,0.29682610776538304
smallcnn_cifar10,sgd,11042,25,0.5364315773690277,0.29108812645983134
smallcnn_cifar10,sgd,11042,26,0.5225337113706985,0.2883431053813896
smallcnn_cifar10,sgd,11042,27,0.5099703074433694,0.2842227194217838
smallcnn_cifar10,sgd,11042,28,0.4986127367215052,0.2900176050916475
smallcnn_cifar10,sgd,11042,29,0.4877206545880041,0.27081996028815414
smallcnn_cifar10,sgd,11042,30,0.4772578190977227,0.2819974395568062
smallcnn_cifar10,sgd,11042,31,0.46681510972334805,0.27197656947793986
smallcnn_cifar10,sgd,11042,32,0.45704366023942916,0.2664144576898505
smallcnn_cifar10,sgd,11042,33,0.4471544291902028,0.2652976277030138
smallcnn_cifar10,sgd,11042,34,0.43641824124203155,0.26860563962563055
smallcnn_cifar10,sgd,11042,35,0.4264905565149842,0.2640542068905422
smallcnn_cifar10,sgd,11042,36,0.41714396087676797,0.25743500624692284
smallcnn_cifar10,sgd,11042,37,0.4066386753576261,0.25314083148805305
smallcnn_cifar10,sgd,11042,38,0.3959847064047688,0.25613991285052606
smallcnn_cifar10,sgd,11042,39,0.3843150822172172,0.25350565196495206
smallcnn_cifar10,sgd,11042,40,0.3731597819620523,0.24358375871791105
smallcnn_cifar10,sgd,12042,0,1.0,1.0
smallcnn_cifar10,sgd,12042,1,0.981971012652086,0.36170415254337174
smallcnn_cifar10,sgd,12042,2,0.9388765707578167,0.4530343359929997
smallcnn_cifar10,sgd,12042,3,0.89176614010306,0.4540251804733601
smallcnn_cifar10,sgd,12042,4,0.8537504851439962,0.44006005184767777
smallcnn_cifar10,sgd,12042,5,0.826982063277009,0.43200542731699143
smallcnn_cifar10,sgd,12042,6,0.8074894946551503,0.42853410603466985
smallcnn_cifar10,sgd,12042,7,0.7907876573729143,0.41384873410915857
smallcnn_cifar10,sgd,12042,8,0.7737546756541305,0.40967713079739626
smallcnn_cifar10,sgd,12042,9,0.7547925357592674,0.4052730265657098
smallcnn_cifar10,sgd,12042,10,0.7346844063302838,0.39918227786967797
smallcnn_cifar10,sgd,12042,11,0.7144429193315895,0.3908993203460844
smallcnn_cifar10,sgd,12042,12,0.6942700390535488,0.3822472665401999
smallcnn_cifar10,sgd,12042,13,0.6756255118625932,0.37630213311239213
smallcnn_cifar10,sgd,12042,14,0.6582308437592208,0.37918807031476004
smallcnn_cifar10,sgd,12042,15,0.6415575942757916,0.36334232913797554
smallcnn_cifar10,sgd,12042,16,0.6236671942439307,0.3653617957025534
smallcnn_cifar10,sgd,12042,17,0.6051262023204959,0.3597764073534719
smallcnn_cifar10,sgd,12042,18,0.5880283338399086,0.3533390365034123
smallcnn_cifar10,sgd,12042,19,0.5722715668028877,0.35391495081307334
smallcnn_cifar10,sgd,12042,20,0.5573828905980329,0.3393795682803385
smallcnn_cifar10,sgd,12042,21,0.5429778101795081,0.3427606051861786
smallcnn_cifar10,sgd,12042,22,0.5286801614796439,0.3406535152355433
smallcnn_cifar10,sgd,12042,23,0.5148765571045731,0.32815099324126035
smallcnn_cifar10,sgd,12042,24,0.5009103851555079,0.33234253852303985
smallcnn_cifar10,sgd,12042,25,0.4873801088369628,0.3292809089463384
smallcnn_cifar10,sgd,12042,26,0.47498343543460253,0.3201520645286063
smallcnn_cifar10,sgd,12042,27,0.46352441647413933,0.3206890486500371
smallcnn_cifar10,sgd,12042,28,0.45303436118312457,0.3194883182864992
smallcnn_cifar10,sgd,12042,29,0.44311673560763437,0.3108522429478626
smallcnn_cifar10,sgd,12042,30,0.43337069097565484,0.30824800807048625
smallcnn_cifar10,sgd,12042,31,0.4242288263104421,0.30207134852608697
smallcnn_cifar10,sgd,12042,32,0.41544838421887237,0.3112817267786465
smallcnn_cifar10,sgd,12042,33,0.4073384900202029,0.29362501226082444
smallcnn_cifar10,sgd,12042,34,0.4001458273860735,0.2982319043671073
smallcnn_cifar10,sgd,12042,35,0.39284738077195985,0.2933236420070723
smallcnn_cifar10,sgd,12042,36,0.3854399043290598,0.2980123319776798
smallcnn_cifar10,sgd,12042,37,0.37780602361661353,0.282875521531651
smallcnn_cifar10,sgd,12042,38,0.37049184105347005,0.2851034168906521
smallcnn_cifar10,sgd,12042,39,0.36342194499753167,0.28520840619794463
smallcnn_cifar10,sgd,12042,40,0.35655827489288994,0.27948745175786155
smallcnn_cifar10,sgd_momentum,10142,0,1.0,1.0
smallcnn_cifar10,sgd_momentum,10142,1,0.9576029399078977,0.017089653294758908
smallcnn_cifar10,sgd_momentum,10142,2,0.933965024770545,0.07312228808255204
smallcnn_cifar10,sgd_momentum,10142,3,0.9173580225851203,0.08205814559249901
smallcnn_cifar10,sgd_momentum,10142,4,0.9051794060480465,0.08187307098566914
smallcnn_cifar10,sgd_momentum,10142,5,0.8958272020439746,0.07989106607045868
smallcnn_cifar10,sgd_momentum,10142,6,0.88822671610238,0.07473779218410163
smallcnn_cifar10,sgd_momentum,10142,7,0.8815053206413668,0.0716659436379631
smallcnn_cifar10,sgd_momentum,10142,8,0.8753961303270696,0.06875703978943022
smallcnn_cifar10,sgd_momentum,10142,9,0.8694027097495549,0.067156981114869
smallcnn_cifar10,sgd_momentum,10142,10,0.8619085043581652,0.06283766010810345
smallcnn_cifar10,sgd_momentum,10142,11,0.8522654343431378,0.0638582546749891
smallcnn_cifar10,sgd_momentum,10142,12,0.8423158113324551,0.062088451515635266
smallcnn_cifar10,sgd_momentum,10142,13,0.8324245242319754,0.05659000473696677
smallcnn_cifar10,sgd_momentum,10142,14,0.8228980584522004,0.05743005638213353
smallcnn_cifar10,sgd_momentum,10142,15,0.8139102791076388,0.05459109034972183
smallcnn_cifar10,sgd_momentum,10142,16,0.8041930879759777,0.05535157905280188
smallcnn_cifar10,sgd_momentum,10142,17,0.7945020101623298,0.05262081964748774
smallcnn_cifar10,sgd_momentum,10142,18,0.7849381340819721,0.05036760262428443
smallcnn_cifar10,sgd_momentum,10142,19,0.775206672389635,0.051502518434195635
smallcnn_cifar10,sgd_momentum,10142,20,0.7652862279271051,0.04906154081121212
smallcnn_cifar10,sgd_momentum,10142,21,0.7554485506854798,0.04788998203687284
smallcnn_cifar10,sgd_momentum,10142,22,0.744939604957574,0.047670846248162306
smallcnn_cifar10,sgd_momentum,10142,23,0.7340570443480422,0.0446103940937388
smallcnn_cifar10,sgd_momentum,10142,24,0.7238805981841995,0.045192102354698976
smallcnn_cifar10,sgd_momentum,10142,25,0.7134963965141258,0.04595227991778138
smallcnn_cifar10,sgd_momentum,10142,26,0.7028006512763538,0.04304320611234632
smallcnn_cifar10,sgd_momentum,10142,27,0.6923583462239854,0.04338444404665803
smallcnn_cifar10,sgd_momentum,10142,28,0.6820304676576135,0.04204805105229051
smallcnn_cifar10,sgd_momentum,10142,29,0.6703443803737229,0.041914139302135736
smallcnn_cifar10,sgd_momentum,10142,30,0.658423531816519,0.04007475582327481
smallcnn_cifar10,sgd_momentum,10142,31,0.6466774080090237,0.03928856470819018
smallcnn_cifar10,sgd_momentum,10142,32,0.6344223543837563,0.03932744185111812
smallcnn_cifar10,sgd_momentum,10142,33,0.6217014960742702,0.039501177578972875
smallcnn_cifar10,sgd_momentum,10142,34,0.6082307117288751,0.038035165776039874
smallcnn_cifar10,sgd_momentum,10142,35,0.595213894586684,0.036450811083378935
smallcnn_cifar10,sgd_momentum,10142,36,0.582637884845398,0.038927542983786555
smallcnn_cifar10,sgd_momentum,10142,37,0.569669620791039,0.03646625770381016
smallcnn_cifar10,sgd_momentum,10142,38,0.5564137723609429,0.03671970348206909
smallcnn_cifar10,sgd_momentum,10142,39,0.5421675584834253,0.03344349889937874
smallcnn_cifar10,sgd_momentum,10142,40,0.5293525560787615,0.03550062414444855
smallcnn_cifar10,sgd_momentum,11142,0,1.0,1.0
