arch,optimizer,seed,C1_10,C11_20,C1_20
smallcnn_cifar10,adam,10242,0.03276798867230856,0.028008405614073268,0.030388197143190916
smallcnn_cifar10,adam,11242,0.028433572032242893,0.025915423724622643,0.027174497878432763
smallcnn_cifar10,adam,12242,0.028330763493772743,0.02652101580881878,0.02742588965129576
smallcnn_cifar10,adamw,10342,0.02917318619243826,0.026486913516385956,0.02783004985441211
smallcnn_cifar10,adamw,11342,0.030168064678111922,0.02634059409151534,0.028254329384813637
smallcnn_cifar10,adamw,12342,0.03011321305937037,0.02652977882934422,0.028321495944357296
smallcnn_cifar10,sgd,10042,0.4185330078824469,0.3628461111204202,0.3906895595014335
smallcnn_cifar10,sgd,11042,0.3898963978756771,0.3336041935316686,0.3617502957036728
smallcnn_cifar10,sgd,12042,0.4197344423551013,0.36637508781042616,0.3930547650827637
smallcnn_cifar10,sgd_momentum,10142,0.06791896408604052,0.055346191822942835,0.06163257795449169
smallcnn_cifar10,sgd_momentum,11142,0.06626231141114353,0.05443959884202476,0.06035095512658415
smallcnn_cifar10,sgd_momentum,12142,0.06753153496615963,0.05444247083871724,0.06098700290243845
