arch,optimizer,lag,acf_mag,acf_mag,cos_sim,cos_sim
,,,mean,std,mean,std
smallcnn_cifar10,sgd,5,0.8424,0.0325,0.4243,0.0159
smallcnn_cifar10,sgd,6,0.8235,0.0332,0.4117,0.0196
smallcnn_cifar10,sgd,7,0.8084,0.0334,0.4092,0.0171
smallcnn_cifar10,sgd,8,0.7945,0.034,0.3984,0.0149
smallcnn_cifar10,sgd,9,0.7798,0.0349,0.3942,0.0203
smallcnn_cifar10,sgd,10,0.7636,0.0357,0.3861,0.0207
smallcnn_cifar10,sgd,11,0.746,0.0358,0.377,0.0208
smallcnn_cifar10,sgd,12,0.7272,0.0347,0.3734,0.0144
smallcnn_cifar10,sgd,13,0.7082,0.0324,0.3666,0.0176
smallcnn_cifar10,sgd,14,0.6894,0.0297,0.3624,0.0227
smallcnn_cifar10,sgd,15,0.6711,0.0275,0.3553,0.0131
smallcnn_cifar10,sgd,16,0.6529,0.0268,0.3514,0.0187
smallcnn_cifar10,sgd,17,0.6348,0.027,0.349,0.0201
smallcnn_cifar10,sgd,18,0.6175,0.0268,0.3384,0.0188
smallcnn_cifar10,sgd,19,0.6007,0.0261,0.3408,0.0184
smallcnn_cifar10,sgd,20,0.5847,0.0253,0.3286,0.0158
smallcnn_cifar10,sgd,21,0.5698,0.0248,0.329,0.0193
smallcnn_cifar10,sgd,22,0.5553,0.0245,0.3239,0.0201
smallcnn_cifar10,sgd,23,0.5417,0.0245,0.3177,0.0159
smallcnn_cifar10,sgd,24,0.5287,0.025,0.3195,0.0197
smallcnn_cifar10,sgd,25,0.5163,0.0257,0.3129,0.0197
smallcnn_cifar10,sgd,26,0.5045,0.0257,0.3061,0.0162
smallcnn_cifar10,sgd,27,0.4936,0.0261,0.3061,0.0193
smallcnn_cifar10,sgd,28,0.4833,0.0262,0.3062,0.015
smallcnn_cifar10,sgd,29,0.4727,0.0256,0.2955,0.0216
smallcnn_cifar10,sgd,30,0.4621,0.0249,0.2978,0.0139
smallcnn_cifar10,sgd,31,0.4518,0.0239,0.2899,0.0159
smallcnn_cifar10,sgd,32,0.4421,0.0231,0.2926,0.0233
smallcnn_cifar10,sgd,33,0.433,0.0223,0.2809,0.0144
smallcnn_cifar10,sgd,34,0.4243,0.0209,0.2835,0.0148
smallcnn_cifar10,sgd,35,0.4161,0.0202,0.282,0.0157
smallcnn_cifar10,sgd,36,0.4079,0.0195,0.2793,0.0205
smallcnn_cifar10,sgd,37,0.3989,0.0185,0.2716,0.0161
smallcnn_cifar10,sgd,38,0.39,0.0173,0.2711,0.0145
smallcnn_cifar10,sgd,39,0.3811,0.0163,0.2724,0.0167
smallcnn_cifar10,sgd,40,0.3722,0.0152,0.2611,0.018
smallcnn_cifar10,sgd_momentum,0,1.0,0.0,1.0,0.0
smallcnn_cifar10,sgd_momentum,1,0.9651,0.0066,0.0169,0.0013
smallcnn_cifar10,sgd_momentum,2,0.9361,0.0033,0.0734,0.001
smallcnn_cifar10,sgd_momentum,3,0.9179,0.0023,0.0793,0.0026
smallcnn_cifar10,sgd_momentum,4,0.9059,0.001,0.0804,0.0025
smallcnn_cifar10,sgd_momentum,5,0.8973,0.0013,0.0767,0.0028
smallcnn_cifar10,sgd_momentum,6,0.8897,0.0016,0.0761,0.0012
smallcnn_cifar10,sgd_momentum,7,0.8818,0.0019,0.0711,0.0007
smallcnn_cifar10,sgd_momentum,8,0.8746,0.0027,0.0689,0.0017
smallcnn_cifar10,sgd_momentum,9,0.8668,0.0038,0.0669,0.0005
smallcnn_cifar10,sgd_momentum,10,0.8578,0.0051,0.0628,0.0014
smallcnn_cifar10,sgd_momentum,11,0.8484,0.005,0.0629,0.0012
smallcnn_cifar10,sgd_momentum,12,0.839,0.0048,0.0606,0.0014
smallcnn_cifar10,sgd_momentum,13,0.8297,0.0048,0.0573,0.0006
smallcnn_cifar10,sgd_momentum,14,0.8203,0.0046,0.0574,0.0007
smallcnn_cifar10,sgd_momentum,15,0.8109,0.0049,0.0534,0.0011
smallcnn_cifar10,sgd_momentum,16,0.8017,0.0049,0.0548,0.0017
smallcnn_cifar10,sgd_momentum,17,0.792,0.0047,0.0519,0.0015
smallcnn_cifar10,sgd_momentum,18,0.7826,0.0048,0.0503,0.0012
smallcnn_cifar10,sgd_momentum,19,0.7732,0.0047,0.0497,0.0017
smallcnn_cifar10,sgd_momentum,20,0.7635,0.0046,0.0491,0.0011
smallcnn_cifar10,sgd_momentum,21,0.7534,0.0041,0.0477,0.0005
smallcnn_cifar10,sgd_momentum,22,0.7427,0.0039,0.0458,0.0016
smallcnn_cifar10,sgd_momentum,23,0.732,0.0037,0.0453,0.0007
smallcnn_cifar10,sgd_momentum,24,0.7213,0.004,0.0443,0.002
smallcnn_cifar10,sgd_momentum,25,0.7108,0.0041,0.0447,0.0011
smallcnn_cifar10,sgd_momentum,26,0.7,0.004,0.0418,0.0011
smallcnn_cifar10,sgd_momentum,27,0.6894,0.0037,0.0426,0.0007
smallcnn_cifar10,sgd_momentum,28,0.6779,0.0041,0.0414,0.0015
smallcnn_cifar10,sgd_momentum,29,0.666,0.0043,0.0412,0.0007
smallcnn_cifar10,sgd_momentum,30,0.6548,0.0037,0.0396,0.0004
smallcnn_cifar10,sgd_momentum,31,0.6431,0.0038,0.0394,0.0001
smallcnn_cifar10,sgd_momentum,32,0.6309,0.0036,0.0395,0.0003
smallcnn_cifar10,sgd_momentum,33,0.6183,0.0034,0.0367,0.0024
smallcnn_cifar10,sgd_momentum,34,0.6053,0.0032,0.0385,0.0005
smallcnn_cifar10,sgd_momentum,35,0.5923,0.0032,0.037,0.0005
smallcnn_cifar10,sgd_momentum,36,0.5799,0.0029,0.037,0.002
smallcnn_cifar10,sgd_momentum,37,0.567,0.0026,0.0348,0.0018
smallcnn_cifar10,sgd_momentum,38,0.5537,0.0025,0.0369,0.0003
smallcnn_cifar10,sgd_momentum,39,0.5402,0.0018,0.0335,0.0002
smallcnn_cifar10,sgd_momentum,40,0.5269,0.0023,0.0352,0.0005
