block_size,n_calib_cells,pperm_trigger_count,empirical_fpr,empirical_fpr_wilson95_lo,empirical_fpr_wilson95_hi,separation_flag_count,nominal_trigger_count,mean_Lobs,median_Lobs,mean_null_median,median_null_median,mean_pperm,min_pperm,alpha
1,200,4,0.02,0.007804300176394188,0.050287865505193874,0,4,7.066281046718292e-05,0.0,0.0,0.0,0.9756965174129354,0.0099502487562189,0.05
5,200,5,0.025,0.010724561470787711,0.05717914415161715,1,5,7.066281046718292e-05,0.0,0.0,0.0,0.9752736318407961,0.0049751243781094,0.05
10,200,4,0.02,0.007804300176394188,0.050287865505193874,0,4,7.066281046718292e-05,0.0,1.484062522649765e-08,0.0,0.9780597014925374,0.0099502487562189,0.05
20,200,2,0.01,0.0027466006037749346,0.03572248519617954,1,2,7.066281046718292e-05,0.0,2.1994346752762795e-08,0.0,0.98136815920398,0.0049751243781094,0.05
