experiment,calib_id,block_size,n_steps,n_checkpoints,d,n_pool_steps,n_source_files,n_nulls,geodesic_k,geodesic_max_k,geodesic_pct,alpha,sample_with_replacement,seed,runtime_sec,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger
block_type1_calibration_mlp2_empirical_random_walk,6,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.977,0.0,0.0,0.017917752265930176,0.0,1.0,0.0,0.0,-0.017917752265930176,0.945,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,6,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.668,0.0,0.0,0.008202135562896729,0.0,1.0,0.0,0.0,-0.008202135562896729,0.975,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,6,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.495,0.0,0.0,0.00667119026184082,0.0,1.0,0.0,0.0,-0.00667119026184082,0.99,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,6,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.787,0.0,0.0,0.05817759037017822,0.0,1.0,0.0,0.0,-0.05817759037017822,0.98,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,7,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,12.04,0.0,0.0,0.0013016462326049805,0.0,1.0,0.0,0.0,-0.0013016462326049805,0.975,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,7,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.909,0.0,0.0,0.023778915405273438,0.0,1.0,0.0,0.0,-0.023778915405273438,0.93,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,7,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.975,0.0,0.0,0.03350198268890381,0.0,1.0,0.0,0.0,-0.03350198268890381,0.975,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,7,20,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.923,0.0,0.0,0.0022828280925750732,0.0,1.0,0.0,0.0,-0.0022828280925750732,0.985,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,8,1,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.525,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,8,5,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,11.506,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
block_type1_calibration_mlp2_empirical_random_walk,8,10,199,200,203530,2388,12,200,12,199,95.0,0.05,True,20260506,10.883,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False
