arch,optimizer,seed,rep,k_value,filtration_pct,d_full,kinematic_R,n_nulls_used,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,elapsed_sec
smallcnn_cifar10,adamw,11342,1,8,90.0,321290,6.021956368902862,200,0.0001604208955541253,0.007659858092665672,0.045874617993831635,0.020943063643278918,0.5920398009950248,41.0,-0.6603648565722291,-0.04571419709827751,0.4,False,False,False,False,False,False,0.0059208944439888,0.33752548694610596,1.3024523258209229,0.017542066223036577,0.7960199004975125,20.5,-0.6719667331463204,-1.296531431376934,0.11,False,False,False,False,False,False,sensitivity_non_trigger,98.68557524681091
smallcnn_cifar10,adamw,11342,1,8,95.0,321290,6.021956368902862,200,0.0001604208955541253,0.009975075721740723,0.049913082271814346,0.01608217320981384,0.6318407960199005,37.0,-0.6636906999318558,-0.04975266137626022,0.345,False,False,False,False,False,False,0.0059208944439888,0.4530460834503174,1.3851820230484009,0.013069077650739778,0.8308457711442786,17.0,-0.8137375873218173,-1.379261128604412,0.11,False,False,False,False,False,False,sensitivity_non_trigger,94.42562818527222
smallcnn_cifar10,adamw,11342,1,8,99.0,321290,6.021956368902862,200,0.0001604208955541253,0.006000857800245285,0.0373249351978302,0.02673299399309797,0.5472636815920398,45.5,-0.6564596020521025,-0.037164514302276075,0.43,False,False,False,False,False,False,0.0059208944439888,0.32088595628738403,1.8025846481323242,0.018451709487303403,0.835820895522388,16.5,-0.6944869707195218,-1.7966637536883354,0.095,False,False,False,False,False,False,sensitivity_non_trigger,95.51756525039673
smallcnn_cifar10,adamw,11342,1,10,90.0,321290,6.021956368902862,200,0.00018078356515616179,0.009658504277467728,0.056081101298332214,0.018717552940282194,0.6218905472636815,38.0,-0.6618659429770537,-0.05590031773317605,0.36,False,False,False,False,False,False,0.0059208944439888,0.4084229292348027,1.7974934577941895,0.014496968755077841,0.8407960199004975,16.0,-0.7256803689007649,-1.7915725633502007,0.085,False,False,False,False,False,False,sensitivity_non_trigger,93.0183413028717
smallcnn_cifar10,adamw,11342,1,10,95.0,321290,6.021956368902862,200,0.00018078356515616179,0.009621497243642807,0.03178989142179489,0.018789546009257654,0.6119402985074627,39.0,-0.6618173843172734,-0.03160910785663873,0.38,False,False,False,False,False,False,0.0059208944439888,0.3828202486038208,1.274505615234375,0.015466513241050748,0.8756218905472637,12.5,-0.754299248832163,-1.2685847207903862,0.07,False,False,False,False,False,False,sensitivity_non_trigger,94.38781380653381
smallcnn_cifar10,adamw,11342,1,10,99.0,321290,6.021956368902862,200,0.00018078356515616179,0.009798266924917698,0.03154655173420906,0.018450565444177235,0.6616915422885572,34.0,-0.6620460235761093,-0.0313657681690529,0.335,False,False,False,False,False,False,0.0059208944439888,0.40133070945739746,1.2786765098571777,0.014753155700392694,0.8905472636815921,11.0,-0.7870213640864736,-1.272755615413189,0.065,False,False,False,False,False,False,sensitivity_non_trigger,97.04751873016357
smallcnn_cifar10,adamw,11342,1,12,90.0,321290,6.021956368902862,200,0.00020023691467940807,0.011081699281930923,0.03392040729522705,0.01806915253401902,0.6467661691542289,35.5,-0.6623032830597264,-0.03372017038054764,0.35,False,False,False,False,False,False,0.0059208944439888,0.41597801446914673,1.2670576572418213,0.014233671583654626,0.8706467661691543,13.0,-0.7680777458284263,-1.2611367627978325,0.09,False,False,False,False,False,False,sensitivity_non_trigger,94.76699447631836
smallcnn_cifar10,adamw,11342,1,12,95.0,321290,6.021956368902862,200,0.00020023691467940807,0.00715433806180954,0.029705598950386047,0.02798818184456525,0.5920398009950248,41.0,-0.6556129894452466,-0.02950536203570664,0.405,False,False,False,False,False,False,0.0059208944439888,0.3105837106704712,1.3746894598007202,0.019063763618471917,0.8557213930348259,14.5,-0.680642149841056,-1.3687685653567314,0.09,False,False,False,False,False,False,sensitivity_non_trigger,96.06092286109924
smallcnn_cifar10,adamw,11342,1,12,99.0,321290,6.021956368902862,200,0.00020023691467940807,0.006256510503590107,0.028640925884246826,0.03200456780700738,0.5771144278606966,42.5,-0.6529039742262763,-0.028440688969567418,0.405,False,False,False,False,False,False,0.0059208944439888,0.2885195016860962,1.0923504829406738,0.020521643803510035,0.8407960199004975,16.0,-0.6784632936175821,-1.086429588496685,0.095,False,False,False,False,False,False,sensitivity_non_trigger,97.18072295188904
smallcnn_cifar10,adamw,11342,1,16,90.0,321290,6.021956368902862,200,0.00022996356710791588,0.012661386281251907,0.03958109766244888,0.018162589939323407,0.6965174129353234,30.5,-0.6622402603933915,-0.03935113409534097,0.295,False,False,False,False,False,False,0.0059208944439888,0.41797059774398804,1.3243751525878906,0.014165815672042207,0.8557213930348259,14.5,-0.7417512362847763,-1.3184542581439018,0.1,False,False,False,False,False,False,sensitivity_non_trigger,94.89858317375183
smallcnn_cifar10,adamw,11342,1,16,95.0,321290,6.021956368902862,200,0.00022996356710791588,0.011679833754897118,0.041322171688079834,0.01968894180465607,0.681592039800995,32.0,-0.6612107501643452,-0.04109220812097192,0.305,False,False,False,False,False,False,0.0059208944439888,0.3872213363647461,1.3604867458343506,0.01529072364544571,0.8905472636815921,11.0,-0.7933554064685173,-1.3545658513903618,0.045,False,False,False,False,False,False,sensitivity_non_trigger,96.2460868358612
smallcnn_cifar10,adamw,11342,1,16,99.0,321290,6.021956368902862,200,0.00022996356710791588,0.013548675924539566,0.03370392695069313,0.0169731395430626,0.6865671641791045,31.5,-0.7327741952633138,-0.033473963383585215,0.31,False,False,False,False,False,False,0.0059208944439888,0.4536193609237671,1.4871805906295776,0.01305256114271274,0.8955223880597015,10.5,-0.8140757489230102,-1.4812596961855888,0.06,False,False,False,False,False,False,sensitivity_non_trigger,96.74741315841675
