arch,optimizer,seed,rep,k_value,filtration_pct,d_full,kinematic_R,n_nulls_used,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,elapsed_sec
resnet18_cifar10,sgd_momentum,20142,0,8,90.0,11173962,5.774062121937031,50,0.0009804804576560855,1.2341421097517014e-05,0.025524556636810303,79.44631096065903,0.2549019607843137,76.0,52.91131619993958,-0.024544076179154217,0.2,False,False,False,False,False,False,0.013636963441967964,0.003575822338461876,0.5827426910400391,3.8136579917502798,0.47058823529411764,54.0,1.8977863164823903,-0.5691057275980711,0.12,False,False,False,False,False,False,sensitivity_non_trigger,659.6346352100372
resnet18_cifar10,sgd_momentum,20142,0,8,95.0,11173962,5.774062121937031,50,0.0009804804576560855,5.246605724096298e-06,0.0641070306301117,186.87896943999903,0.19607843137254902,82.0,125.37367129301357,-0.06312655017245561,0.24,False,False,False,False,False,False,0.013636963441967964,0.003463566303253174,0.9516099002212286,3.937260685675949,0.39215686274509803,62.0,1.981155191429053,-0.9379729367792606,0.1,False,False,False,False,False,False,sensitivity_non_trigger,657.5316550731659
resnet18_cifar10,sgd_momentum,20142,0,8,99.0,11173962,5.774062121937031,50,0.0009804804576560855,9.239651262760162e-06,0.027723386883735657,106.11659722388583,0.27450980392156865,74.0,70.90018124160227,-0.02674290642607957,0.34,False,False,False,False,False,False,0.013636963441967964,0.0025012511759996414,0.5403398275375366,5.45205678156885,0.45098039215686275,56.0,3.002871161303509,-0.5267028640955687,0.18,False,False,False,False,False,False,sensitivity_non_trigger,657.8462240695953
resnet18_cifar10,sgd_momentum,20142,0,10,90.0,11173962,5.774062121937031,50,0.0009536051657050848,1.042243093252182e-05,0.05900644510984421,91.49545632718272,0.17647058823529413,84.0,61.03835498845857,-0.05805283994413912,0.22,False,False,False,False,False,False,0.013636963441967964,0.0013783760368824005,0.6528558731079102,9.893500080659,0.3333333333333333,68.0,5.998583628650109,-0.6392189096659422,0.18,False,False,False,False,False,False,sensitivity_non_trigger,656.8325986862183
resnet18_cifar10,sgd_momentum,20142,0,10,95.0,11173962,5.774062121937031,50,0.0009536051657050848,6.154063157737255e-06,0.02514585852622986,154.95535003582236,0.19607843137254902,82.0,103.84147795439017,-0.024192253360524774,0.4,False,False,False,False,False,False,0.013636963441967964,0.001203831285238266,0.49765586853027344,11.327968958657628,0.3333333333333333,68.0,6.966119633122595,-0.4840189050883055,0.2,False,False,False,False,False,False,sensitivity_non_trigger,657.3379790782928
resnet18_cifar10,sgd_momentum,20142,0,10,99.0,11173962,5.774062121937031,50,0.0009536051657050848,7.014721632003784e-06,0.02736133337020874,135.94338874560512,0.27450980392156865,74.0,91.01808183281527,-0.026407728204503655,0.22,False,False,False,False,False,False,0.013636963441967964,0.004339303821325302,0.5399175882339478,3.1426615882038713,0.43137254901960786,58.0,1.4452054424174445,-0.5262806247919798,0.1,False,False,False,False,False,False,sensitivity_non_trigger,660.2983479499817
resnet18_cifar10,sgd_momentum,20142,0,12,90.0,11173962,5.774062121937031,50,0.0009331032633781433,8.856412023305893e-06,0.03116174042224884,105.35905009428271,0.29411764705882354,72.0,70.38922298033249,-0.030228637158870697,0.36,False,False,False,False,False,False,0.013636963441967964,0.005178372375667095,0.5746921300888062,2.6334458880195455,0.47058823529411764,54.0,1.1017441579172351,-0.5610551666468382,0.16,False,False,False,False,False,False,sensitivity_non_trigger,667.9543035030365
resnet18_cifar10,sgd_momentum,20142,0,12,95.0,11173962,5.774062121937031,50,0.0009331032633781433,4.56441193819046e-06,0.02868642657995224,204.43007151497287,0.23529411764705882,78.0,137.21173364548454,-0.027753323316574097,0.32,False,False,False,False,False,False,0.013636963441967964,0.0015953965485095978,0.48893797397613525,8.54769520854221,0.35294117647058826,66.0,5.09085067712123,-0.4753010105341673,0.18,False,False,False,False,False,False,sensitivity_non_trigger,657.2419331073761
resnet18_cifar10,sgd_momentum,20142,0,12,99.0,11173962,5.774062121937031,50,0.0009331032633781433,3.153621219098568e-05,0.0946846455335617,29.588310356960097,0.27450980392156865,74.0,19.282551797648022,-0.09375154227018356,0.2,False,False,False,False,False,False,0.013636963441967964,0.004914131946861744,1.2089043855667114,2.775050321532724,0.37254901960784315,64.0,1.197255039860672,-1.1952674221247435,0.12,False,False,False,False,False,False,sensitivity_non_trigger,657.464485168457
resnet18_cifar10,sgd_momentum,20142,0,16,90.0,11173962,5.774062121937031,50,0.001089668134227395,1.455424353480339e-05,0.037296392023563385,74.86943974465214,0.37254901960784315,64.0,49.824257985173205,-0.03620672388933599,0.28,False,False,False,False,False,False,0.013636963441967964,0.01975148916244507,0.598678469657898,0.6904271029450519,0.5490196078431373,46.0,-0.20880405842438451,-0.58504150621593,0.14,False,False,False,False,False,False,sensitivity_non_trigger,656.8754110336304
resnet18_cifar10,sgd_momentum,20142,0,16,95.0,11173962,5.774062121937031,50,0.001089668134227395,6.806105375289917e-06,0.03918776661157608,160.10154325291145,0.21568627450980393,80.0,107.31253660875201,-0.038098098477348685,0.32,False,False,False,False,False,False,0.013636963441967964,0.002566673792898655,0.6068257093429565,5.313087886113516,0.39215686274509803,62.0,2.9091379253902234,-0.5931887459009886,0.14,False,False,False,False,False,False,sensitivity_non_trigger,656.7152116298676
resnet18_cifar10,sgd_momentum,20142,0,16,99.0,11173962,5.774062121937031,50,0.001089668134227395,1.976778730750084e-05,0.03559184819459915,55.12342186575942,0.2549019607843137,76.0,36.50574980055802,-0.03450218006037176,0.2,False,False,False,False,False,False,0.013636963441967964,0.002048049122095108,1.0931503400206566,6.658513845292512,0.43137254901960786,58.0,3.8166153032130454,-1.0795133765786886,0.08,False,False,False,False,False,False,sensitivity_non_trigger,657.2785940170288
