arch,optimizer,seed,rep,k_value,filtration_pct,d_full,kinematic_R,n_nulls_used,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,elapsed_sec
mlp2_mnist,adam,2242,2,8,90.0,203530,1.8391112808201417,200,0.0013024993240833282,0.00727113289758563,0.12848049402236938,0.1791329277362938,0.8706467661691543,13.0,-1.488922836248195,-0.12717799469828606,0.105,False,False,False,False,False,False,0.012944173067808151,0.09123663604259491,1.4084751605987549,0.14187472959462397,1.0,0.0,-2.4399752472933605,-1.3955309875309467,0.0,False,False,False,False,False,False,sensitivity_non_trigger,68.01809167861938
mlp2_mnist,adam,2242,2,8,95.0,203530,1.8391112808201417,200,0.0013024993240833282,0.007066900841891766,0.1098751425743103,0.18430983440123483,0.8855721393034826,11.5,-1.3890325612253498,-0.10857264325022697,0.085,False,False,False,False,False,False,0.012944173067808151,0.08890065550804138,1.417356014251709,0.14560267293520351,1.0,0.0,-2.0984937901315517,-1.4044118411839008,0.0,False,False,False,False,False,False,sensitivity_non_trigger,69.3512773513794
mlp2_mnist,adam,2242,2,8,99.0,203530,1.8391112808201417,200,0.0013024993240833282,0.006895953323692083,0.09880706667900085,0.1888787906118096,0.8905472636815921,11.0,-1.5498541091547164,-0.09750456735491753,0.07,False,False,False,False,False,False,0.012944173067808151,0.090394988656044,0.9950878620147705,0.14319569325815143,1.0,0.0,-2.120352296604681,-0.9821436889469624,0.0,False,False,False,False,False,False,sensitivity_non_trigger,70.40689301490784
mlp2_mnist,adam,2242,2,10,90.0,203530,1.8391112808201417,200,0.003039087401703,0.006604042369872332,0.0655403882265091,0.4601859332561437,0.8159203980099502,18.5,-1.003181487137008,-0.0625013008248061,0.07,False,False,False,False,False,False,0.012944173067808151,0.08542680740356445,0.7395622730255127,0.15152354935268866,1.0,0.0,-2.3509503002621006,-0.7266180999577045,0.0,False,False,False,False,False,False,sensitivity_non_trigger,67.72768688201904
mlp2_mnist,adam,2242,2,10,95.0,203530,1.8391112808201417,200,0.003039087401703,0.006984293460845947,0.11048586666584015,0.43513168773692534,0.8208955223880597,18.0,-0.9139884018295484,-0.10744677926413715,0.075,False,False,False,False,False,False,0.012944173067808151,0.09300176054239273,1.4172782897949219,0.13918202184751827,1.0,0.0,-2.3255822610725554,-1.4043341167271137,0.0,False,False,False,False,False,False,sensitivity_non_trigger,69.00520157814026
mlp2_mnist,adam,2242,2,10,99.0,203530,1.8391112808201417,200,0.003039087401703,0.007030808366835117,0.08875572681427002,0.432252913563448,0.845771144278607,15.5,-1.2030516314361974,-0.08571663941256702,0.085,False,False,False,False,False,False,0.012944173067808151,0.09033588320016861,1.1035099029541016,0.14328938411973927,1.0,0.0,-2.203841599001543,-1.0905657298862934,0.0,False,False,False,False,False,False,sensitivity_non_trigger,70.12099862098694
mlp2_mnist,adam,2242,2,12,90.0,203530,1.8391112808201417,200,0.0012788311578333378,0.00728634325787425,0.10237365961074829,0.17551069341618128,0.8706467661691543,13.0,-1.5346516323686314,-0.10109482845291495,0.09,False,False,False,False,False,False,0.012944173067808151,0.08757287263870239,1.184356689453125,0.14781030560758068,1.0,0.0,-1.8382872836630333,-1.1714125163853168,0.0,False,False,False,False,False,False,sensitivity_non_trigger,67.5575954914093
mlp2_mnist,adam,2242,2,12,95.0,203530,1.8391112808201417,200,0.0012788311578333378,0.006746622733771801,0.07781532406806946,0.18955130709210957,0.8855721393034826,11.5,-1.552514248546623,-0.07653649291023612,0.075,False,False,False,False,False,False,0.012944173067808151,0.088259756565094,0.9080661535263062,0.14665996793357125,1.0,0.0,-2.37975618032795,-0.895121980458498,0.0,False,False,False,False,False,False,sensitivity_non_trigger,68.83185648918152
mlp2_mnist,adam,2242,2,12,99.0,203530,1.8391112808201417,200,0.0012788311578333378,0.006745804101228714,0.08358924090862274,0.18957430996414953,0.9154228855721394,8.5,-1.2648549425710778,-0.0823104097507894,0.055,False,False,False,False,False,False,0.012944173067808151,0.09007828682661057,1.1513179242610931,0.14369914797092406,0.9900497512437811,1.0,-1.9669092936286814,-1.138373751193285,0.005,False,False,False,False,False,False,sensitivity_non_trigger,69.42825603485107
mlp2_mnist,adam,2242,2,16,90.0,203530,1.8391112808201417,200,0.0013024993240833282,0.007268123794347048,0.06298805773258209,0.17920709123270165,0.9203980099502488,8.0,-1.8628707443083476,-0.061685558408498764,0.05,False,False,False,False,False,False,0.012944173067808151,0.0902516171336174,0.8705644607543945,0.1434231704513493,0.9950248756218906,0.5,-2.7305041283350064,-0.8576202876865864,0.0,False,False,False,False,False,False,sensitivity_non_trigger,66.3152666091919
