experiment,stress_name,stress_label,seed,rep,status,analysis_role,is_formal_inference,space,pca_d,pca_var,prefix_ep,N_pts,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,train_loss,val_loss,val_acc,kinematic_R,path_length,net_displacement,d_full
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,50,0.999416172504425,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9670975208282471,0.9127647876739502,68.08999633789062,1.9840729569510858,19.689239501953125,9.923646926879883,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,50,0.999416172504425,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7589690685272217,0.7655423283576965,73.73999786376953,2.23339696731019,27.920923233032227,12.50154972076416,321290
stress,edge_of_stability,EoS,42,0,ok,projection_diagnostic,False,pca,50,0.999416172504425,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.6343081593513489,0.7251521348953247,75.66999816894531,2.4518923318144106,35.557716369628906,14.502152442932129,321290
stress,edge_of_stability,EoS,1042,1,ok,formal_matched_step,True,full,321290,1.0,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,0.652176022529602,0.6859756112098694,76.41000366210938,3.3841888067629258,48.58191680908203,14.355557441711426,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,2,0.9585162401199341,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9820878505706787,0.9398491382598877,67.48999786376953,1.0902343823312437,10.470420837402344,9.603825569152832,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,2,0.9585162401199341,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7740249633789062,0.8178353905677795,72.0,1.2069858041137558,14.63743782043457,12.127265930175781,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,2,0.9585162401199341,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.652176022529602,0.6859756112098694,76.41000366210938,1.2543149590379779,17.47776222229004,13.934109687805176,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,3,0.983745813369751,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9820878505706787,0.9398491382598877,67.48999786376953,1.2365538933295583,11.971057891845703,9.680983543395996,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,3,0.983745813369751,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7740249633789062,0.8178353905677795,72.0,1.3256140898912063,16.22041130065918,12.236148834228516,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,3,0.983745813369751,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.652176022529602,0.6859756112098694,76.41000366210938,1.3600151147062414,19.39333724975586,14.259648323059082,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,4,0.9917199015617371,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9820878505706787,0.9398491382598877,67.48999786376953,1.3172275876411816,12.841646194458008,9.748995780944824,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,4,0.9917199015617371,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7740249633789062,0.8178353905677795,72.0,1.3904352257235029,17.153547286987305,12.33681869506836,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,4,0.9917199015617371,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.652176022529602,0.6859756112098694,76.41000366210938,1.4352143404603077,20.483287811279297,14.271936416625977,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,10,0.9978631138801575,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9820878505706787,0.9398491382598877,67.48999786376953,1.4810224144253776,14.577875137329102,9.84311580657959,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,10,0.9978631138801575,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7740249633789062,0.8178353905677795,72.0,1.5392205419284755,19.069271087646484,12.388914108276367,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,10,0.9978631138801575,200,200,0.0,0.0,8.261948823928833e-05,0.0,1.0,0.0,0.0,-8.261948823928833e-05,0.99,True,True,False,False,False,False,0.0,0.0,0.00038743019104003906,0.0,1.0,0.0,0.0,-0.00038743019104003906,0.99,True,True,False,False,False,False,pca_non_trigger,0.652176022529602,0.6859756112098694,76.41000366210938,1.5815001374531343,22.691604614257812,14.348152160644531,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,50,0.9994369745254517,100,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.9820878505706787,0.9398491382598877,67.48999786376953,1.9680416901568811,19.385765075683594,9.850281715393066,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,50,0.9994369745254517,150,150,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.7740249633789062,0.8178353905677795,72.0,2.212248210480735,27.420745849609375,12.394968032836914,321290
stress,edge_of_stability,EoS,1042,1,ok,projection_diagnostic,False,pca,50,0.9994369745254517,200,200,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,pca_non_trigger,0.652176022529602,0.6859756112098694,76.41000366210938,2.4407760618871306,35.0367317199707,14.354750633239746,321290
