drift_scale,amp_frac,amp_abs,block_size,n_nulls,is_formal_null,support_size,geodesic_k,geodesic_pct,Lobs_geo,obs_sentinel,sentinel_nulls,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,median_pairwise
0.0,1e-05,3.9926629333923845e-05,1,200,True,4096,12,95.0,1.3199300859123468,False,0,1.3199300859123468,0.2732558622956276,1.1506024301052094,4.8303815874937115,0.004975124378109453,100.0,7.064027091718614,0.1693276558071375,0.0,False,False,False,False,True,True,3.992662933392384
0.0,1e-05,3.9926629333923845e-05,5,50,False,4096,12,95.0,1.3199300859123468,False,0,1.3199300859123468,0.5586369223892689,1.4481546245515347,2.362769149351413,0.0392156862745098,98.0,3.2594064278364496,-0.1282245386391878,0.0,False,False,False,False,True,True,3.992662933392384
0.0,1e-05,3.9926629333923845e-05,10,50,False,4096,12,95.0,1.3199300859123468,False,0,1.3199300859123468,0.7732311710715294,1.5296269208192825,1.7070316553347238,0.058823529411764705,96.0,1.57671217001162,-0.2096968349069357,0.0,False,False,False,False,False,False,3.992662933392384
0.0,1e-05,3.9926629333923845e-05,20,50,False,4096,12,95.0,1.3199300859123468,False,0,1.3199300859123468,0.8944039959460497,1.3459254279732704,1.4757649696261967,0.058823529411764705,96.0,1.6970931119953854,-0.025995342060923576,0.0,False,False,False,False,False,False,3.992662933392384
0.0,3e-05,0.00011977988800177153,1,200,True,4096,12,95.0,1.31992993876338,False,0,1.31992993876338,0.2732575237751007,1.1506057381629944,4.830351678971125,0.004975124378109453,100.0,7.064318237816115,0.16932420060038567,0.0,False,False,False,False,True,True,3.992662933392384
0.0,3e-05,0.00011977988800177153,5,50,False,4096,12,95.0,1.31992993876338,False,0,1.31992993876338,0.5586365796625614,1.4481489062309265,2.362770335516352,0.0392156862745098,98.0,3.2594041822172226,-0.12821896746754646,0.0,False,False,False,False,True,True,3.992662933392384
0.0,3e-05,0.00011977988800177153,10,50,False,4096,12,95.0,1.31992993876338,False,0,1.31992993876338,0.7732313945889473,1.5296930335462093,1.7070309715804448,0.058823529411764705,96.0,1.5767159733943277,-0.20976309478282928,0.0,False,False,False,False,False,False,3.992662933392384
0.0,3e-05,0.00011977988800177153,20,50,False,4096,12,95.0,1.31992993876338,False,0,1.31992993876338,0.8944041300565004,1.3459206465631723,1.4757645838224416,0.058823529411764705,96.0,1.697098737847967,-0.02599070779979229,0.0,False,False,False,False,False,False,3.992662933392384
0.0,0.0001,0.00039926629333923843,1,200,True,4096,12,95.0,1.3199298363178968,False,0,1.3199298363178968,0.27325713634490967,1.1506045013666153,4.830358152648681,0.004975124378109453,100.0,7.064211667568339,0.16932533495128155,0.0,False,False,False,False,True,True,3.992662933392384
0.0,0.0001,0.00039926629333923843,5,50,False,4096,12,95.0,1.3199298363178968,False,0,1.3199298363178968,0.5586373023688793,1.4481498561799526,2.362767095427434,0.0392156862745098,98.0,3.259427625541441,-0.12822001986205578,0.0,False,False,False,False,True,True,3.992662933392384
