arch,optimizer,lag,acf_mag,acf_mag,cos_sim,cos_sim
,,,mean,std,mean,std
mlp2_mnist,sgd,10,0.3278,0.0041,0.8977,0.0042
mlp2_mnist,sgd,11,0.3173,0.0036,0.8939,0.0041
mlp2_mnist,sgd,12,0.3074,0.0044,0.8936,0.0033
mlp2_mnist,sgd,13,0.2993,0.0044,0.8885,0.007
mlp2_mnist,sgd,14,0.2917,0.0038,0.887,0.0027
mlp2_mnist,sgd,15,0.2846,0.0034,0.8855,0.0043
mlp2_mnist,sgd,16,0.2776,0.0034,0.8816,0.0052
mlp2_mnist,sgd,17,0.2709,0.0038,0.8812,0.0036
mlp2_mnist,sgd,18,0.265,0.003,0.8763,0.003
mlp2_mnist,sgd,19,0.2591,0.003,0.8736,0.0042
mlp2_mnist,sgd,20,0.2529,0.0033,0.8742,0.0063
mlp2_mnist,sgd,21,0.247,0.0029,0.8703,0.0018
mlp2_mnist,sgd,22,0.2409,0.0024,0.8679,0.0052
mlp2_mnist,sgd,23,0.2355,0.0018,0.8653,0.0048
mlp2_mnist,sgd,24,0.2302,0.0017,0.8642,0.0037
mlp2_mnist,sgd,25,0.2251,0.0016,0.8606,0.0048
mlp2_mnist,sgd,26,0.2199,0.0018,0.859,0.004
mlp2_mnist,sgd,27,0.2142,0.0021,0.8571,0.0046
mlp2_mnist,sgd,28,0.2093,0.0026,0.8535,0.0028
mlp2_mnist,sgd,29,0.2045,0.0032,0.8541,0.0064
mlp2_mnist,sgd,30,0.1996,0.0021,0.8496,0.006
mlp2_mnist,sgd,31,0.1944,0.0015,0.8477,0.0037
mlp2_mnist,sgd,32,0.1895,0.002,0.8462,0.0037
mlp2_mnist,sgd,33,0.1847,0.0016,0.8435,0.0058
mlp2_mnist,sgd,34,0.1793,0.0013,0.8412,0.0042
mlp2_mnist,sgd,35,0.1744,0.0016,0.8405,0.0037
mlp2_mnist,sgd,36,0.1693,0.0015,0.836,0.004
mlp2_mnist,sgd,37,0.1639,0.0018,0.8366,0.0051
mlp2_mnist,sgd,38,0.1594,0.0014,0.8335,0.0034
mlp2_mnist,sgd,39,0.1547,0.0018,0.8289,0.0061
mlp2_mnist,sgd,40,0.1505,0.002,0.8305,0.0033
mlp2_mnist,sgd_momentum,0,1.0,0.0,1.0,0.0
mlp2_mnist,sgd_momentum,1,0.8795,0.0019,0.4927,0.0115
mlp2_mnist,sgd_momentum,2,0.7955,0.0052,0.6175,0.0021
mlp2_mnist,sgd_momentum,3,0.7305,0.0054,0.6169,0.0091
mlp2_mnist,sgd_momentum,4,0.6781,0.0047,0.6208,0.01
mlp2_mnist,sgd_momentum,5,0.634,0.0051,0.6103,0.0054
mlp2_mnist,sgd_momentum,6,0.5976,0.0051,0.6109,0.0082
mlp2_mnist,sgd_momentum,7,0.5663,0.0049,0.6142,0.0066
mlp2_mnist,sgd_momentum,8,0.5379,0.0057,0.6022,0.0071
mlp2_mnist,sgd_momentum,9,0.5134,0.0057,0.6091,0.0044
mlp2_mnist,sgd_momentum,10,0.4909,0.0057,0.5954,0.0107
mlp2_mnist,sgd_momentum,11,0.471,0.0053,0.6039,0.0033
mlp2_mnist,sgd_momentum,12,0.4533,0.0043,0.5947,0.0075
mlp2_mnist,sgd_momentum,13,0.4361,0.0041,0.5958,0.0072
mlp2_mnist,sgd_momentum,14,0.4194,0.0046,0.5912,0.006
mlp2_mnist,sgd_momentum,15,0.404,0.0042,0.5935,0.0067
mlp2_mnist,sgd_momentum,16,0.3894,0.0032,0.5884,0.003
mlp2_mnist,sgd_momentum,17,0.376,0.0024,0.587,0.0119
mlp2_mnist,sgd_momentum,18,0.3631,0.0018,0.5813,0.0032
mlp2_mnist,sgd_momentum,19,0.3508,0.0021,0.5863,0.0096
mlp2_mnist,sgd_momentum,20,0.3405,0.0022,0.5807,0.0085
mlp2_mnist,sgd_momentum,21,0.3306,0.0033,0.5788,0.0097
mlp2_mnist,sgd_momentum,22,0.3203,0.0029,0.5795,0.0024
mlp2_mnist,sgd_momentum,23,0.31,0.0037,0.5752,0.0092
mlp2_mnist,sgd_momentum,24,0.2998,0.0026,0.5764,0.0066
mlp2_mnist,sgd_momentum,25,0.2912,0.0031,0.5741,0.0046
mlp2_mnist,sgd_momentum,26,0.282,0.0024,0.5683,0.0057
mlp2_mnist,sgd_momentum,27,0.2733,0.003,0.5739,0.0086
mlp2_mnist,sgd_momentum,28,0.2641,0.0036,0.5702,0.0084
