dataset,type,k,N_SAMPLES,SUBSAMPLE,N_NULLS,GEODESIC_MAX_K,GEODESIC_PCT,ALPHA,DELTA_MIN,LOBS_MULT,Lobs,null_med,null_max,TSR,pperm,pct,zrob,delta,zero_frac,null_collapsed,zrob_collapsed,fallback,separation_flag,formal_trigger,nominal_trigger,k_init,k_used,seed
helix_p10_r2,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.0022730911150574684,0.08337860368192196,0.3450114503502846,0.027262283303540795,1.0,0.0,-2.228560209287977,-0.3427383592352271,0.0,False,False,False,False,False,False,12,12,400
helix_p10_r2,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.003110598772764206,0.07398195751011372,0.2958044037222862,0.042045369944380365,1.0,0.0,-2.144819367713431,-0.292693804949522,0.0,False,False,False,False,False,False,12,12,500
helix_p10_r2,helix,12,1200,600,200,50,95.0,0.05,0.001,5.0,0.002793317660689354,0.07924847304821014,0.27970846742391586,0.035247589678539484,1.0,0.0,-2.2824076455394735,-0.2769151497632265,0.0,False,False,False,False,False,False,12,12,600
helix_p10_r2,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.003424961119890213,0.08018362149596214,0.4118756502866745,0.0427139739506524,1.0,0.0,-1.8482355058991482,-0.4084506891667843,0.0,False,False,False,False,False,False,14,14,100
helix_p10_r2,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.0032857097685337067,0.08667423948645592,0.31627851724624634,0.037908723375752684,1.0,0.0,-2.067574608910625,-0.31299280747771263,0.0,False,False,False,False,False,False,14,14,200
helix_p10_r2,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.003061615861952305,0.07822427526116371,0.29995696246623993,0.03913894825732156,1.0,0.0,-2.253334303922796,-0.2968953466042876,0.0,False,False,False,False,False,False,14,14,300
helix_p10_r2,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.002292260527610779,0.0788838155567646,0.3436494693160057,0.029058692349030895,1.0,0.0,-2.001847342080114,-0.34135720878839493,0.0,False,False,False,False,False,False,14,14,400
helix_p10_r2,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.0031251832842826843,0.07255931384861469,0.2914205566048622,0.043070739212885754,1.0,0.0,-2.360745269842352,-0.28829537332057953,0.0,False,False,False,False,False,False,14,14,500
helix_p10_r2,helix,14,1200,600,200,50,95.0,0.05,0.001,5.0,0.002808988094329834,0.07724937424063683,0.25866617262363434,0.03636259998098225,1.0,0.0,-2.290842923825097,-0.2558571845293045,0.0,False,False,False,False,False,False,14,14,600
helix_p10_r2,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.0034358371049165726,0.07720962166786194,0.2901165187358856,0.04450011579712506,1.0,0.0,-1.8324434135679175,-0.28668068163096905,0.0,False,False,False,False,False,False,16,16,100
helix_p10_r2,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.0033050067722797394,0.08447138965129852,0.29832374304533005,0.03912575353482193,1.0,0.0,-1.9431047945101756,-0.2950187362730503,0.0,False,False,False,False,False,False,16,16,200
helix_p10_r2,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.003071240149438381,0.07988033816218376,0.2841165214776993,0.03844801136375124,1.0,0.0,-1.9919311877724066,-0.2810452813282609,0.0,False,False,False,False,False,False,16,16,300
helix_p10_r2,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.0023025162518024445,0.0769035555422306,0.5012725442647934,0.02994030946343055,1.0,0.0,-1.916993537899832,-0.49897002801299095,0.0,False,False,False,False,False,False,16,16,400
helix_p10_r2,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.0031336992979049683,0.06862979754805565,0.27854955941438675,0.045660914206617643,1.0,0.0,-1.882030199262422,-0.2754158601164818,0.0,False,False,False,False,False,False,16,16,500
helix_p10_r2,helix,16,1200,600,200,50,95.0,0.05,0.001,5.0,0.0028185853734612465,0.07604880444705486,0.2737751603126526,0.0370628492310682,1.0,0.0,-1.9649257233881867,-0.27095657493919134,0.0,False,False,False,False,False,False,16,16,600
helix_p10_r2,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.0034595802426338196,0.07188055478036404,0.2951205372810364,0.048129570690664175,1.0,0.0,-1.685564800263419,-0.29166095703840256,0.0,False,False,False,False,False,False,20,20,100
helix_p10_r2,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.0033238474279642105,0.07654050178825855,0.2976369857788086,0.043425994738261156,1.0,0.0,-1.6172452618243862,-0.2943131383508444,0.0,False,False,False,False,False,False,20,20,200
helix_p10_r2,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.003089570440351963,0.07380572706460953,0.2604418247938156,0.0418608496005397,1.0,0.0,-1.9401069448596229,-0.25735225435346365,0.0,False,False,False,False,False,False,20,20,300
helix_p10_r2,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.002322363667190075,0.07324154675006866,0.4603690356016159,0.031708282664800344,1.0,0.0,-1.6144650162230678,-0.45804667193442583,0.0,False,False,False,False,False,False,20,20,400
helix_p10_r2,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.0031569916754961014,0.06417468562722206,0.273488312959671,0.0491937224871695,1.0,0.0,-1.5136889222847647,-0.2703313212841749,0.0,False,False,False,False,False,False,20,20,500
helix_p10_r2,helix,20,1200,600,200,50,95.0,0.05,0.001,5.0,0.0028415368869900703,0.06927292421460152,0.27558180689811707,0.04101944474216529,1.0,0.0,-1.7046966107876216,-0.272740270011127,0.0,False,False,False,False,False,False,20,20,600
helix_p25_r3,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.0004075514152646065,0.022226951085031033,0.07898533344268799,0.018335911825564787,1.0,0.0,-2.622965731712468,-0.07857778202742338,0.0,False,False,False,False,False,False,6,6,100
helix_p25_r3,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.002103712409734726,0.022002283483743668,0.06642420217394829,0.09561336718497584,1.0,0.0,-2.634251082480056,-0.06432048976421356,0.0,False,False,False,False,False,False,6,6,200
helix_p25_r3,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.0007432131096720695,0.022026320919394493,0.07518256083130836,0.03374204490882168,1.0,0.0,-2.3222487645668193,-0.0744393477216363,0.0,False,False,False,False,False,False,6,6,300
helix_p25_r3,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.0009897984564304352,0.021743394434452057,0.09056181460618973,0.04552180016642635,1.0,0.0,-2.9346331809051236,-0.08957201614975929,0.0,False,False,False,False,False,False,6,6,400
helix_p25_r3,helix,6,1200,600,200,50,95.0,0.05,0.001,5.0,0.0021380921825766563,0.022606820799410343,0.09043818525969982,0.09457730485207576,1.0,0.0,-2.8716293415875005,-0.08830009307712317,0.0,False,False,False,False,False,False,6,6,500
