dataset,type,kendall_tau_TSR,tau_TSR_p,n_formal_positive,n_total,formal_fire_rate,mean_TSR,max_TSR,min_pperm
helix_p10_r2,helix,1.0,0.0003968253968253968,0,42,0.0,0.03678168499600729,0.0491937224871695,1.0
helix_p25_r3,helix,1.0,0.0003968253968253968,0,42,0.0,0.06672754869403404,0.1590003100007818,1.0
circle_r1_n005,circle,0.9047619047619049,0.002777777777777778,42,42,1.0,2.1221905786270927,2.5730997636260766,0.004975124378109453
circle_r2_n01,circle,0.9047619047619049,0.002777777777777778,42,42,1.0,2.1221905786270927,2.5730997636260766,0.004975124378109453
