arch,optimizer,seed,rep,block_size,d_full,analysis_role,is_formal_inference,kinematic_R,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,geo_k_used_obs,geo_null_k_min,geo_null_k_median,geo_null_k_max,geo_null_k_near_complete_frac,euc_Lobs,euc_null_med,euc_null_max,euc_TSR,euc_pperm,euc_pct,euc_zrob,euc_delta,euc_zero_frac,euc_null_collapsed,euc_zrob_collapsed,euc_fallback,euc_separation_flag,euc_formal_trigger,euc_nominal_trigger,decision,elapsed_sec
resnet18_cifar10,adam,20242,0,1,11173962,block_diagnostic,False,8.632819760441034,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,matched_step_non_detection,32.103808879852295
resnet18_cifar10,adam,20242,0,5,11173962,block_diagnostic,False,8.632819760441034,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,30.819278717041016
resnet18_cifar10,adam,20242,0,10,11173962,block_diagnostic,False,8.632819760441034,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,30.717917919158936
resnet18_cifar10,adam,20242,0,20,11173962,block_diagnostic,False,8.632819760441034,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,12,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,block_diagnostic_non_trigger,30.67399001121521
