arch,optimizer,seed,rep,space,pca_d,geo_Lobs,geo_zrob,geo_pperm,geo_formal_trigger,geo_zero_frac,geo_null_collapsed,decision,train_loss,val_acc,kinematic_R,d_full
mlp2_mnist,sgd,42,0,full,203530,0.0051662339828908,-1.8386077069919085,0.9850746268656716,False,0.0,False,matched_step_non_detection,0.0919560715556144,96.9499969482422,1.2617417447650972,203530
mlp2_mnist,sgd,1042,1,full,203530,0.0061568189412355,-1.693313301157506,0.9900497512437813,False,0.0,False,matched_step_non_detection,0.0921764969825744,96.87999725341795,1.257476539702929,203530
mlp2_mnist,sgd,2042,2,full,203530,0.006049127317965,-1.8808685477279068,0.9850746268656716,False,0.0,False,matched_step_non_detection,0.0917382389307022,96.97000122070312,1.2665354807421163,203530
mlp2_mnist,sgd_momentum,142,0,full,203530,0.0052607282996177,-1.0642375102903656,0.9552238805970148,False,0.0,False,matched_step_non_detection,0.0048205242492258,98.0999984741211,1.3451950672776989,203530
mlp2_mnist,sgd_momentum,1142,1,full,203530,0.0038465200923383,-1.0678476683739178,0.9303482587064676,False,0.0,False,matched_step_non_detection,0.0048699090257287,98.12000274658205,1.343287223907115,203530
mlp2_mnist,sgd_momentum,2142,2,full,203530,0.0053411656990647,-1.058168817421051,0.9800995024875622,False,0.0,False,matched_step_non_detection,0.0046540820039808,98.12000274658205,1.3342586499365732,203530
mlp2_mnist,adam,242,0,full,203530,0.0031147731933742,-1.0654942963846916,0.8308457711442786,False,0.065,False,matched_step_non_detection,4.153884276547616e-07,98.2699966430664,1.7797662794112392,203530
mlp2_mnist,adam,1242,1,full,203530,0.0026786979287862,-1.4520113061813325,0.8009950248756219,False,0.105,False,matched_step_non_detection,1.8326933286516576e-06,98.18000030517578,2.117475014359861,203530
mlp2_mnist,adam,2242,2,full,203530,0.0012788311578333,-1.9665720649070328,0.8756218905472637,False,0.115,False,matched_step_non_detection,4.344013575519057e-07,98.23999786376952,1.8391112808201415,203530
mlp2_mnist,adamw,342,0,full,203530,0.0032389254774898,-1.143677579471796,0.8208955223880597,False,0.07,False,matched_step_non_detection,1.5694396324761328e-06,98.31999969482422,2.2886616231410697,203530
mlp2_mnist,adamw,1342,1,full,203530,0.0013217888772487,-2.534498020449345,0.8656716417910447,False,0.115,False,matched_step_non_detection,1.1215454378543654e-06,98.30999755859376,2.2420301447014643,203530
mlp2_mnist,adamw,2342,2,full,203530,0.0015902610030025,-1.1052992518928677,0.8308457711442786,False,0.12,False,matched_step_non_detection,5.035273261455586e-06,98.2300033569336,2.333590152924058,203530
smallcnn_cifar10,sgd,10042,0,full,321290,0.0017194384709,-2.56360768007188,1.0,False,0.0,False,matched_step_non_detection,1.053264617919922,64.44999694824219,1.971409494730726,321290
smallcnn_cifar10,sgd,11042,1,full,321290,0.0018053827807307,-2.4243583639241058,0.9850746268656716,False,0.01,False,matched_step_non_detection,1.089399814605713,62.93000030517578,2.0229271016983743,321290
smallcnn_cifar10,sgd,12042,2,full,321290,0.0024489320348948,-2.7998125769111306,0.9900497512437813,False,0.0,False,matched_step_non_detection,1.0696377754211426,63.68999862670898,1.955401023480538,321290
smallcnn_cifar10,sgd_momentum,10142,0,full,321290,0.0007951940642669,-1.4093345932262633,0.7810945273631841,False,0.175,False,matched_step_non_detection,0.2816822528839111,82.80999755859375,4.07059593520255,321290
smallcnn_cifar10,sgd_momentum,11142,1,full,321290,0.0007846883963793,-1.277865622325148,0.8407960199004975,False,0.15,False,matched_step_non_detection,0.280340701341629,83.38999938964844,4.104092807785076,321290
smallcnn_cifar10,sgd_momentum,12142,2,full,321290,0.0006347311427816,-1.3540253990546098,0.835820895522388,False,0.155,False,matched_step_non_detection,0.2772350609302521,83.44000244140625,4.100032562517629,321290
smallcnn_cifar10,adam,10242,0,full,321290,0.0003086607903242,281.39626821497404,0.4925373134328358,False,0.49,False,matched_step_non_detection,0.2180945426225662,83.11000061035156,5.804539119545645,321290
smallcnn_cifar10,adam,11242,1,full,321290,0.0002942468854598,-0.6534806734070958,0.6169154228855721,False,0.375,False,matched_step_non_detection,0.2003972381353378,83.54000091552734,5.967587772596174,321290
smallcnn_cifar10,adam,12242,2,full,321290,0.0005344339879229,-0.6284359367287887,0.6119402985074627,False,0.38,False,matched_step_non_detection,0.2016422599554062,83.69000244140625,5.925733613983587,321290
smallcnn_cifar10,adamw,10342,0,full,321290,0.0001143030822277,-0.6609323013615478,0.5671641791044776,False,0.43,False,matched_step_non_detection,0.2200600802898407,83.58999633789062,6.05332313919139,321290
smallcnn_cifar10,adamw,11342,1,full,321290,0.0002002369146794,-0.8109167659161217,0.6965174129353234,False,0.3,False,matched_step_non_detection,0.2168893218040466,83.6500015258789,6.021956368902862,321290
smallcnn_cifar10,adamw,12342,2,full,321290,0.0001497790217399,-0.6638380878211958,0.6218905472636815,False,0.37,False,matched_step_non_detection,0.2289053946733474,83.36000061035156,5.976859907060671,321290
resnet18_cifar10,sgd,20042,0,full,11173962,0.0007849391549825,3.2770437032973336,0.1044776119402985,False,0.235,False,matched_step_non_detection,0.3479028046131134,82.16000366210938,3.133113949986415,11173962
resnet18_cifar10,sgd,21042,1,full,11173962,0.0154030676931142,88.60542858890138,0.0497512437810945,True,0.28,False,matched_step_trigger,0.3466577231884002,82.1500015258789,3.168347741440108,11173962
resnet18_cifar10,sgd,22042,2,full,11173962,0.0009292028844356,4.150048036589149,0.0945273631840796,False,0.275,False,matched_step_non_detection,0.3483543992042541,81.86000061035156,3.196324428124876,11173962
resnet18_cifar10,sgd_momentum,20142,0,full,11173962,0.0009331032633781,82.64460868369629,0.2288557213930348,False,0.315,False,matched_step_non_detection,0.0019610612653195,89.83000183105469,5.774062121937031,11173962
resnet18_cifar10,sgd_momentum,21142,1,full,11173962,0.0021592450793832,183.32218784771607,0.1990049751243781,False,0.34,False,matched_step_non_detection,0.0016459476901218,89.8499984741211,5.802696510079244,11173962
resnet18_cifar10,sgd_momentum,22142,2,full,11173962,0.0005710164550691,20.922325755447176,0.2487562189054726,False,0.215,False,matched_step_non_detection,0.0018745043780654,89.6500015258789,5.748698083847414,11173962
resnet18_cifar10,adam,20242,0,full,11173962,4.562461981549859e-06,4.562461981549859,0.3134328358208955,False,0.69,False,matched_step_non_detection,6.921902968315408e-05,93.22000122070312,8.632819760441034,11173962
resnet18_cifar10,adam,21242,1,full,11173962,0.0,0.0,1.0,False,0.63,False,matched_step_non_detection,6.070466042729095e-05,93.62000274658205,8.660769822814046,11173962
resnet18_cifar10,adam,22242,2,full,11173962,1.5893761883489788e-05,15.893761883489788,0.2885572139303483,False,0.705,True,matched_step_non_detection,6.573415885213763e-05,93.38999938964844,8.685637741413768,11173962
resnet18_cifar10,adamw,20342,0,full,11173962,4.979372897651047e-05,49.79372897651047,0.4328358208955223,False,0.57,False,matched_step_non_detection,4.542485839920119e-05,93.9000015258789,9.126700166153976,11173962
resnet18_cifar10,adamw,21342,1,full,11173962,0.0,0.0,1.0,False,0.685,False,matched_step_non_detection,5.588092972175218e-05,93.41000366210938,9.115293932489228,11173962
resnet18_cifar10,adamw,22342,2,full,11173962,0.0,0.0,1.0,False,0.665,False,matched_step_non_detection,0.0001224296865984,93.73999786376952,9.16235162077932,11173962
