label,d_embed,n_cycles,decision,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,kinematic_R
1-cycle d=2048,2048,1,robust_recurrence,1.2896871902048588,1.2559905964881182,1.2679066210985184,1.0268286990443503,0.004975124378109453,100.0,6.978183723838548,0.02178056910634041,0.0,False,False,False,False,True,True,194.45105312316923
4-cycle d=2048,2048,4,robust_recurrence,1.2183058932423592,1.0015054941177368,1.1870208606123924,1.2164744980399667,0.004975124378109453,100.0,1.9223346094472666,0.031285032629966736,0.0,False,False,False,False,True,True,197.65882740357992
4-cycle d=203530,203530,4,robust_recurrence,1.2368077263236046,1.0020382106304169,1.1854252591729164,1.2342919792891447,0.004975124378109453,100.0,2.138217118322349,0.05138246715068817,0.0,False,False,False,False,True,True,198.97035782024352
random_walk_d2048,2048,0,no_recurrence,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,True,True,False,False,False,False,14.132682315507067
