source_csv,arch,architecture,optimizer,seed,k,k_value,pct,filtration_pct,block_size_normalized,n_nulls,n_nulls_used,analysis_role_normalized,n_rows,raw_pvalue_triggers,formal_triggers,block_diagnostic_triggers,source_formal_trigger_mismatches
acf_results/stage1_mlp2/acf_summary.csv,mlp2_mnist,,sgd_momentum,1142.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage1_mlp2/acf_summary.csv,mlp2_mnist,,sgd_momentum,2142.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage1_mlp2/acf_summary_stats.csv,mlp2_mnist,,adam,,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage1_mlp2/acf_summary_stats.csv,mlp2_mnist,,adamw,,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage1_mlp2/acf_summary_stats.csv,mlp2_mnist,,sgd,,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage1_mlp2/acf_summary_stats.csv,mlp2_mnist,,sgd_momentum,,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage1_mlp2/acf_summary_stats.csv,,,,,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,adam,242.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,adam,1242.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,adam,2242.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,adamw,342.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,adamw,1342.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,adamw,2342.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,sgd,42.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,sgd,1042.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,sgd,2042.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,sgd_momentum,142.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,sgd_momentum,1142.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage1_mlp2/acf_window_summary.csv,mlp2_mnist,,sgd_momentum,2142.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,adam,10242.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,adam,11242.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,adam,12242.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,adamw,10342.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,adamw,11342.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,adamw,12342.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,sgd,10042.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,sgd,11042.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,sgd,12042.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,sgd_momentum,10142.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,sgd_momentum,11142.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary.csv,smallcnn_cifar10,,sgd_momentum,12142.0,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary_stats.csv,smallcnn_cifar10,,adam,,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary_stats.csv,smallcnn_cifar10,,adamw,,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary_stats.csv,smallcnn_cifar10,,sgd,,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary_stats.csv,smallcnn_cifar10,,sgd_momentum,,,,,,,,,projection_diagnostic,41,0,0,0,0
acf_results/stage2_smallcnn/acf_summary_stats.csv,,,,,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage2_smallcnn/acf_window_summary.csv,smallcnn_cifar10,,adam,10242.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage2_smallcnn/acf_window_summary.csv,smallcnn_cifar10,,adam,11242.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage2_smallcnn/acf_window_summary.csv,smallcnn_cifar10,,adam,12242.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage2_smallcnn/acf_window_summary.csv,smallcnn_cifar10,,adamw,10342.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage2_smallcnn/acf_window_summary.csv,smallcnn_cifar10,,adamw,11342.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage2_smallcnn/acf_window_summary.csv,smallcnn_cifar10,,adamw,12342.0,,,,,,,,projection_diagnostic,1,0,0,0,0
acf_results/stage2_smallcnn/acf_window_summary.csv,smallcnn_cifar10,,sgd,10042.0,,,,,,,,projection_diagnostic,1,0,0,0,0
