drift_scale,amp_frac,amp_abs,block_size,n_nulls,is_formal_null,support_size,geodesic_k,geodesic_pct,Lobs_geo,obs_sentinel,sentinel_nulls,geo_Lobs,geo_null_med,geo_null_max,geo_TSR,geo_pperm,geo_pct,geo_zrob,geo_delta,geo_zero_frac,geo_null_collapsed,geo_zrob_collapsed,geo_fallback,geo_separation_flag,geo_formal_trigger,geo_nominal_trigger,median_pairwise
1.0,0.0001,0.00021981209726184192,1,200,True,4096,12,95.0,9.892901289276779e-05,False,0,9.892901289276779e-05,0.0016126588452607393,0.034927207976579666,0.06134528274355967,0.5373134328358209,46.5,-0.6331139331029277,-0.0348282789636869,0.46,False,False,False,False,False,False,2.198120972618419
1.0,0.0001,0.00021981209726184192,5,50,False,4096,12,95.0,9.892901289276779e-05,False,0,9.892901289276779e-05,2.319087798241526e-06,0.026270754635334015,42.65857045568147,0.1568627450980392,86.0,28.098333232314097,-0.026171825622441247,0.5,False,False,False,False,False,False,2.198120972618419
1.0,0.0001,0.00021981209726184192,10,50,False,4096,12,95.0,9.892901289276779e-05,False,0,9.892901289276779e-05,1.130709279095754e-05,0.0001767404901329428,8.749287369658406,0.1568627450980392,86.0,5.226823245275822,-7.781147724017501e-05,0.36,False,False,False,False,False,False,2.198120972618419
1.0,0.0001,0.00021981209726184192,20,50,False,4096,12,95.0,9.892901289276779e-05,False,0,9.892901289276779e-05,2.7613565180217847e-05,0.00016811423120088875,3.582623564342073,0.13725490196078433,88.0,1.741955816864635,-6.918521830812097e-05,0.32,False,False,False,False,False,False,2.198120972618419
1.0,0.0003,0.0006594362917855257,1,200,True,4096,12,95.0,0.00013531529111787677,False,0,0.00013531529111787677,0.0015403467696160078,0.05082692950963974,0.08784729107703595,0.5472636815920398,45.5,-0.6152385733616169,-0.05069161421852186,0.455,False,False,False,False,False,False,2.198120972618419
1.0,0.0003,0.0006594362917855257,5,50,False,4096,12,95.0,0.00013531529111787677,False,0,0.00013531529111787677,2.5899207685142756e-06,0.026269234716892242,52.24686427324066,0.11764705882352941,90.0,34.56555001105642,-0.026133919425774366,0.5,False,False,False,False,False,False,2.198120972618419
1.0,0.0003,0.0006594362917855257,10,50,False,4096,12,95.0,0.00013531529111787677,False,0,0.00013531529111787677,3.451277734711766e-05,0.00016416673315688968,3.9207301642574834,0.0784313725490196,94.0,1.9700055833399184,-2.885144203901291e-05,0.32,False,False,False,False,False,False,2.198120972618419
1.0,0.0003,0.0006594362917855257,20,50,False,4096,12,95.0,0.00013531529111787677,False,0,0.00013531529111787677,2.6583926228340715e-05,0.0002928033354692161,5.090116669203759,0.09803921568627451,92.0,2.7587460277062137,-0.00015748804435133934,0.36,False,False,False,False,False,False,2.198120972618419
1.0,0.001,0.002198120972618419,1,200,True,4096,12,95.0,0.00014998734695836902,False,0,0.00014998734695836902,0.005274123512208462,0.03263935446739197,0.028438345553103223,0.6019900497512438,40.0,-0.6553093581825878,-0.0324893671204336,0.4,False,False,False,False,False,False,2.198120972618419
1.0,0.001,0.002198120972618419,5,50,False,4096,12,95.0,0.00014998734695836902,False,0,0.00014998734695836902,1.4382781955646351e-05,0.02626941353082657,10.42825629927812,0.0784313725490196,94.0,6.359272240880566,-0.0261194261838682,0.42,False,False,False,False,False,False,2.198120972618419
1.0,0.001,0.002198120972618419,10,50,False,4096,12,95.0,0.00014998734695836902,False,0,0.00014998734695836902,1.8953120161313564e-05,0.00017323039355687797,7.913596166130033,0.0392156862745098,98.0,4.663157010431205,-2.3243046598508954e-05,0.3,False,False,False,False,True,True,2.198120972618419
1.0,0.001,0.002198120972618419,20,50,False,4096,12,95.0,0.00014998734695836902,False,0,0.00014998734695836902,2.3270302335731685e-05,0.0001724181929603219,6.445440130041733,0.0784313725490196,94.0,3.6728992358175505,-2.2430846001952887e-05,0.32,False,False,False,False,False,False,2.198120972618419
1.0,0.003,0.006594362917855257,1,200,True,4096,12,95.0,0.00016338255954906344,False,0,0.00016338255954906344,0.0034785601310431957,0.03263937681913376,0.04696844480106708,0.572139303482587,43.0,-0.6428109774621819,-0.032475994259584695,0.425,False,False,False,False,False,False,2.198120972618419
1.0,0.003,0.006594362917855257,5,50,False,4096,12,95.0,0.00016338255954906344,False,0,0.00016338255954906344,0.0,0.00023090344620868564,163382559.54906344,0.0784313725490196,94.0,163.38255954906344,-6.752088665962219e-05,0.54,False,True,False,False,False,False,2.198120972618419
1.0,0.003,0.006594362917855257,10,50,False,4096,12,95.0,0.00016338255954906344,False,0,0.00016338255954906344,3.383619332453236e-05,0.00016069933190010488,4.828632853388174,0.0196078431372549,100.0,2.582377577292813,2.683227648958564e-06,0.32,False,False,False,False,True,True,2.198120972618419
1.0,0.003,0.006594362917855257,20,50,False,4096,12,95.0,0.00016338255954906344,False,0,0.00016338255954906344,3.191053110640496e-05,0.00020688038785010576,5.120019904533962,0.058823529411764705,96.0,2.7789154626893193,-4.349782830104232e-05,0.38,False,False,False,False,False,False,2.198120972618419
1.0,0.01,0.02198120972618419,1,200,True,4096,12,95.0,0.00024327810388058424,False,0,0.00024327810388058424,0.0,0.031082749366760254,243278103.88058424,0.2935323383084577,71.0,243.27810388058424,-0.03083947126287967,0.71,True,True,False,False,False,False,2.198120972618419
1.0,0.01,0.02198120972618419,5,50,False,4096,12,95.0,0.00024327810388058424,False,0,0.00024327810388058424,0.0,0.00028520100750029087,243278103.88058424,0.0392156862745098,98.0,243.27810388058424,-4.192290361970663e-05,0.7,True,True,False,False,True,True,2.198120972618419
1.0,0.01,0.02198120972618419,10,50,False,4096,12,95.0,0.00024327810388058424,False,0,0.00024327810388058424,0.0,0.0002277944004163146,243278103.88058424,0.0196078431372549,100.0,243.27810388058424,1.5483703464269638e-05,0.66,False,True,False,False,True,True,2.198120972618419
1.0,0.01,0.02198120972618419,20,50,False,4096,12,95.0,0.00024327810388058424,False,0,0.00024327810388058424,0.0,0.0003438146086409688,243278103.88058424,0.09803921568627451,92.0,243.27810388058424,-0.00010053650476038456,0.52,False,True,False,False,False,False,2.198120972618419
